Municipios;Tipo de vivienda;Total
04003  Adra;2 Total viviendas familiares;11.835
04003  Adra;2.1 Total viviendas principales;8.201
09003  Adrada de Haza;2 Total viviendas familiares;193
09003  Adrada de Haza;2.1 Total viviendas principales;106
40002  Adrada de Pirón;2 Total viviendas familiares;89
40002  Adrada de Pirón;2.1 Total viviendas principales;19
05002  Adrada, La;2 Total viviendas familiares;4.009
05002  Adrada, La;2.1 Total viviendas principales;1.054
42003  Adradas;2 Total viviendas familiares;103
42003  Adradas;2.1 Total viviendas principales;30
40003  Adrados;2 Total viviendas familiares;285
40003  Adrados;2.1 Total viviendas principales;90
03001  Adsubia;2 Total viviendas familiares;562
03001  Adsubia;2.1 Total viviendas principales;328
20002  Aduna;2 Total viviendas familiares;228
20002  Aduna;2.1 Total viviendas principales;183
35001  Agaete;2 Total viviendas familiares;3.123
35001  Agaete;2.1 Total viviendas principales;2.230
37002  Agallas;2 Total viviendas familiares;187
37002  Agallas;2.1 Total viviendas principales;73
25002  Àger;2 Total viviendas familiares;713
25002  Àger;2.1 Total viviendas principales;259
36020  Agolada;2 Total viviendas familiares;1.724
36020  Agolada;2.1 Total viviendas principales;1.044
50003  Agón;2 Total viviendas familiares;119
50003  Agón;2.1 Total viviendas principales;75
26002  Agoncillo;2 Total viviendas familiares;835
26002  Agoncillo;2.1 Total viviendas principales;502
03002  Agost;2 Total viviendas familiares;2.801
03002  Agost;2.1 Total viviendas principales;1.703
25003  Agramunt;2 Total viviendas familiares;2.829
25003  Agramunt;2.1 Total viviendas principales;2.040
42004  Ágreda;2 Total viviendas familiares;2.075
42004  Ágreda;2.1 Total viviendas principales;1.166
03003  Agres;2 Total viviendas familiares;656
03003  Agres;2.1 Total viviendas principales;259
18001  Agrón;2 Total viviendas familiares;210
18001  Agrón;2.1 Total viviendas principales;152
41001  Aguadulce;2 Total viviendas familiares;1.116
41001  Aguadulce;2.1 Total viviendas principales;855
50004  Aguarón;2 Total viviendas familiares;603
50004  Aguarón;2.1 Total viviendas principales;333
09006  Aguas Cándidas;2 Total viviendas familiares;161
09006  Aguas Cándidas;2.1 Total viviendas principales;35
47002  Aguasal;2 Total viviendas familiares;14
47002  Aguasal;2.1 Total viviendas principales;13
44003  Aguatón;2 Total viviendas familiares;25
44003  Aguatón;2.1 Total viviendas principales;7
44004  Aguaviva;2 Total viviendas familiares;679
44004  Aguaviva;2.1 Total viviendas principales;258
13002  Agudo;2 Total viviendas familiares;1.601
13002  Agudo;2.1 Total viviendas principales;773
22004  Agüero;2 Total viviendas familiares;241
22004  Agüero;2.1 Total viviendas principales;69
40004  Aguilafuente;2 Total viviendas familiares;677
40004  Aguilafuente;2.1 Total viviendas principales;278
09007  Aguilar de Bureba;2 Total viviendas familiares;85
09007  Aguilar de Bureba;2.1 Total viviendas principales;33
34004  Aguilar de Campoo;2 Total viviendas familiares;4.248
34004  Aguilar de Campoo;2.1 Total viviendas principales;2.990
47003  Aguilar de Campos;2 Total viviendas familiares;221
47003  Aguilar de Campos;2.1 Total viviendas principales;126
31008  Aguilar de Codés;2 Total viviendas familiares;123
31008  Aguilar de Codés;2.1 Total viviendas principales;51
14002  Aguilar de la Frontera;2 Total viviendas familiares;6.725
