Municipios;Tipo de vivienda;Total
31253  Bidaurreta;2.1 Total viviendas principales;73
20024  Bidegoian;2 Total viviendas familiares;281
20024  Bidegoian;2.1 Total viviendas principales;225
50901  Biel;2 Total viviendas familiares;254
50901  Biel;2.1 Total viviendas principales;91
22057  Bielsa;2 Total viviendas familiares;696
22057  Bielsa;2.1 Total viviendas principales;190
02016  Bienservida;2 Total viviendas familiares;776
02016  Bienservida;2.1 Total viviendas principales;298
06020  Bienvenida;2 Total viviendas familiares;1.102
06020  Bienvenida;2.1 Total viviendas principales;840
22058  Bierge;2 Total viviendas familiares;234
22058  Bierge;2.1 Total viviendas principales;108
22059  Biescas;2 Total viviendas familiares;3.040
22059  Biescas;2.1 Total viviendas principales;685
03044  Bigastro;2 Total viviendas familiares;3.165
03044  Bigastro;2.1 Total viviendas principales;2.431
08023  Bigues i Riells;2 Total viviendas familiares;4.391
08023  Bigues i Riells;2.1 Total viviendas principales;3.218
50050  Bijuesca;2 Total viviendas familiares;305
50050  Bijuesca;2.1 Total viviendas principales;53
48020  Bilbao;2 Total viviendas familiares;162.561
48020  Bilbao;2.1 Total viviendas principales;147.655
33006  Bimenes;2 Total viviendas familiares;1.328
33006  Bimenes;2.1 Total viviendas principales;936
22060  Binaced;2 Total viviendas familiares;726
22060  Binaced;2.1 Total viviendas principales;545
22061  Binéfar;2 Total viviendas familiares;4.548
22061  Binéfar;2.1 Total viviendas principales;3.652
07008  Binissalem;2 Total viviendas familiares;3.926
07008  Binissalem;2.1 Total viviendas principales;2.824
25055  Biosca;2 Total viviendas familiares;149
25055  Biosca;2.1 Total viviendas principales;89
50051  Biota;2 Total viviendas familiares;711
50051  Biota;2.1 Total viviendas principales;394
22062  Bisaurri;2 Total viviendas familiares;122
22062  Bisaurri;2.1 Total viviendas principales;85
43027  Bisbal de Falset, La;2 Total viviendas familiares;179
43027  Bisbal de Falset, La;2.1 Total viviendas principales;89
43028  Bisbal del Penedès, La;2 Total viviendas familiares;2.845
43028  Bisbal del Penedès, La;2.1 Total viviendas principales;1.259
17022  Bisbal d'Empordà, La;2 Total viviendas familiares;5.105
17022  Bisbal d'Empordà, La;2.1 Total viviendas principales;4.129
22063  Biscarrués;2 Total viviendas familiares;157
22063  Biscarrués;2.1 Total viviendas principales;92
50052  Bisimbre;2 Total viviendas familiares;102
50052  Bisimbre;2.1 Total viviendas principales;48
17234  Biure;2 Total viviendas familiares;144
17234  Biure;2.1 Total viviendas principales;102
31056  Biurrun-Olcoz;2 Total viviendas familiares;144
31056  Biurrun-Olcoz;2.1 Total viviendas principales;89
42036  Blacos;2 Total viviendas familiares;68
42036  Blacos;2.1 Total viviendas principales;24
30011  Blanca;2 Total viviendas familiares;3.561
30011  Blanca;2.1 Total viviendas principales;2.410
43029  Blancafort;2 Total viviendas familiares;334
43029  Blancafort;2.1 Total viviendas principales;170
44042  Blancas;2 Total viviendas familiares;266
44042  Blancas;2.1 Total viviendas principales;73
32012  Blancos, Os;2 Total viviendas familiares;713
32012  Blancos, Os;2.1 Total viviendas principales;388
17023  Blanes;2 Total viviendas familiares;25.257
17023  Blanes;2.1 Total viviendas principales;15.957
05033  Blascomillán;2 Total viviendas familiares;198
05033  Blascomillán;2.1 Total viviendas principales;78
05034  Blasconuño de Matacabras;2 Total viviendas familiares;22
05034  Blasconuño de Matacabras;2.1 Total viviendas principales;10
05035  Blascosancho;2 Total viviendas familiares;238
05035  Blascosancho;2.1 Total viviendas principales;56
14011  Blázquez, Los;2 Total viviendas familiares;483
14011  Blázquez, Los;2.1 Total viviendas principales;267
22064  Blecua y Torres;2 Total viviendas familiares;151
22064  Blecua y Torres;2.1 Total viviendas principales;92
44043  Blesa;2 Total viviendas familiares;290
44043  Blesa;2.1 Total viviendas principales;70
42037  Bliecos;2 Total viviendas familiares;47
42037  Bliecos;2.1 Total viviendas principales;22
37052  Boada;2 Total viviendas familiares;230
37052  Boada;2.1 Total viviendas principales;128
34033  Boada de Campos;2 Total viviendas familiares;11
34033  Boada de Campos;2.1 Total viviendas principales;7
17029  Boadella i les Escaules;2 Total viviendas familiares;170
17029  Boadella i les Escaules;2.1 Total viviendas principales;102
34035  Boadilla de Rioseco;2 Total viviendas familiares;171
34035  Boadilla de Rioseco;2.1 Total viviendas principales;59
34034  Boadilla del Camino;2 Total viviendas familiares;103
34034  Boadilla del Camino;2.1 Total viviendas principales;49
28022  Boadilla del Monte;2 Total viviendas familiares;16.380
28022  Boadilla del Monte;2.1 Total viviendas principales;14.504
33007  Boal;2 Total viviendas familiares;1.564
33007  Boal;2.1 Total viviendas principales;699
28023  Boalo, El;2 Total viviendas familiares;4.283
28023  Boalo, El;2.1 Total viviendas principales;2.678
26031  Bobadilla;2 Total viviendas familiares;109
26031  Bobadilla;2.1 Total viviendas principales;61
47020  Bobadilla del Campo;2 Total viviendas familiares;193
47020  Bobadilla del Campo;2.1 Total viviendas principales;116
32013  Boborás;2 Total viviendas familiares;1.934
32013  Boborás;2.1 Total viviendas principales;1.313
24020  Boca de Huérgano;2 Total viviendas familiares;698
24020  Boca de Huérgano;2.1 Total viviendas principales;214
46072  Bocairent;2 Total viviendas familiares;2.613
46072  Bocairent;2.1 Total viviendas principales;1.795
40032  Boceguillas;2 Total viviendas familiares;599
40032  Boceguillas;2.1 Total viviendas principales;291
47021  Bocigas;2 Total viviendas familiares;85
47021  Bocigas;2.1 Total viviendas principales;45
47022  Bocos de Duero;2 Total viviendas familiares;73
47022  Bocos de Duero;2.1 Total viviendas principales;32
19052  Bodera, La;2 Total viviendas familiares;138
19052  Bodera, La;2.1 Total viviendas principales;18
37054  Bodón, El;2 Total viviendas familiares;345
37054  Bodón, El;2.1 Total viviendas principales;141
06021  Bodonal de la Sierra;2 Total viviendas familiares;734
06021  Bodonal de la Sierra;2.1 Total viviendas principales;424
47023  Boecillo;2 Total viviendas familiares;2.031
47023  Boecillo;2.1 Total viviendas principales;1.505
37055  Bogajo;2 Total viviendas familiares;176
37055  Bogajo;2.1 Total viviendas principales;58
02017  Bogarra;2 Total viviendas familiares;1.082
02017  Bogarra;2.1 Total viviendas principales;503
05036  Bohodón, El;2 Total viviendas familiares;142
05036  Bohodón, El;2.1 Total viviendas principales;66
10030  Bohonal de Ibor;2 Total viviendas familiares;670
10030  Bohonal de Ibor;2.1 Total viviendas principales;266
05037  Bohoyo;2 Total viviendas familiares;788
05037  Bohoyo;2.1 Total viviendas principales;148
15010  Boimorto;2 Total viviendas familiares;1.241
15010  Boimorto;2.1 Total viviendas principales;776
15011  Boiro;2 Total viviendas familiares;10.258
15011  Boiro;2.1 Total viviendas principales;6.604
32014  Bola, A;2 Total viviendas familiares;1.241
32014  Bola, A;2.1 Total viviendas principales;551
13023  Bolaños de Calatrava;2 Total viviendas familiares;5.096
13023  Bolaños de Calatrava;2.1 Total viviendas principales;4.168
47024  Bolaños de Campos;2 Total viviendas familiares;219
47024  Bolaños de Campos;2.1 Total viviendas principales;136
46073  Bolbaite;2 Total viviendas familiares;962
46073  Bolbaite;2.1 Total viviendas principales;560
41016  Bollullos de la Mitación;2 Total viviendas familiares;4.030
41016  Bollullos de la Mitación;2.1 Total viviendas principales;3.204
21013  Bollullos Par del Condado;2 Total viviendas familiares;6.411
21013  Bollullos Par del Condado;2.1 Total viviendas principales;4.935
32015  Bolo, O;2 Total viviendas familiares;1.509
32015  Bolo, O;2.1 Total viviendas principales;534
22066  Boltaña;2 Total viviendas familiares;981
22066  Boltaña;2.1 Total viviendas principales;416
03045  Bolulla;2 Total viviendas familiares;290
03045  Bolulla;2.1 Total viviendas principales;188
17024  Bolvir;2 Total viviendas familiares;772
17024  Bolvir;2.1 Total viviendas principales;166
22067  Bonansa;2 Total viviendas familiares;88
22067  Bonansa;2.1 Total viviendas principales;39
21014  Bonares;2 Total viviendas familiares;2.292
21014  Bonares;2.1 Total viviendas principales;2.040
43030  Bonastre;2 Total viviendas familiares;552
43030  Bonastre;2.1 Total viviendas principales;264
02018  Bonete;2 Total viviendas familiares;609
02018  Bonete;2.1 Total viviendas principales;437
16036  Boniches;2 Total viviendas familiares;286
16036  Boniches;2.1 Total viviendas principales;68
05038  Bonilla de la Sierra;2 Total viviendas familiares;322
05038  Bonilla de la Sierra;2.1 Total viviendas principales;70
02019  Bonillo, El;2 Total viviendas familiares;1.855
02019  Bonillo, El;2.1 Total viviendas principales;1.103
46074  Bonrepòs i Mirambell;2 Total viviendas familiares;1.901
46074  Bonrepòs i Mirambell;2.1 Total viviendas principales;1.396
24021  Boñar;2 Total viviendas familiares;2.210
24021  Boñar;2.1 Total viviendas principales;865
15012  Boqueixón;2 Total viviendas familiares;1.753
15012  Boqueixón;2.1 Total viviendas principales;1.426
50053  Boquiñeni;2 Total viviendas familiares;485
50053  Boquiñeni;2.1 Total viviendas principales;365
22068  Borau;2 Total viviendas familiares;89
22068  Borau;2.1 Total viviendas principales;42
50054  Bordalba;2 Total viviendas familiares;160
50054  Bordalba;2.1 Total viviendas principales;31
25057  Bòrdes, Es;2 Total viviendas familiares;280
25057  Bòrdes, Es;2.1 Total viviendas principales;114
17025  Bordils;2 Total viviendas familiares;740
17025  Bordils;2.1 Total viviendas principales;622
44044  Bordón;2 Total viviendas familiares;160
44044  Bordón;2.1 Total viviendas principales;56
29030  Borge, El;2 Total viviendas familiares;583
29030  Borge, El;2.1 Total viviendas principales;458
25058  Borges Blanques, Les;2 Total viviendas familiares;3.606
25058  Borges Blanques, Les;2.1 Total viviendas principales;2.370
43031  Borges del Camp, Les;2 Total viviendas familiares;1.017
43031  Borges del Camp, Les;2.1 Total viviendas principales;759
50055  Borja;2 Total viviendas familiares;4.165
50055  Borja;2.1 Total viviendas principales;1.920
42038  Borjabad;2 Total viviendas familiares;42
42038  Borjabad;2.1 Total viviendas principales;17
41017  Bormujos;2 Total viviendas familiares;7.998
41017  Bormujos;2.1 Total viviendas principales;6.727
11010  Bornos;2 Total viviendas familiares;3.592
11010  Bornos;2.1 Total viviendas principales;2.958
42039  Borobia;2 Total viviendas familiares;234
42039  Borobia;2.1 Total viviendas principales;130
45021  Borox;2 Total viviendas familiares;2.313
45021  Borox;2.1 Total viviendas principales;1.244
17026  Borrassà;2 Total viviendas familiares;313
17026  Borrassà;2.1 Total viviendas principales;260
08024  Borredà;2 Total viviendas familiares;456
08024  Borredà;2.1 Total viviendas principales;223
24022  Borrenes;2 Total viviendas familiares;399
24022  Borrenes;2.1 Total viviendas principales;177
12032  Borriana/Burriana;2 Total viviendas familiares;19.797
12032  Borriana/Burriana;2.1 Total viviendas principales;13.080
12031  Borriol;2 Total viviendas familiares;3.404
12031  Borriol;2.1 Total viviendas principales;1.835
11011  Bosque, El;2 Total viviendas familiares;1.228
11011  Bosque, El;2.1 Total viviendas principales;779
25059  Bossòst;2 Total viviendas familiares;775
25059  Bossòst;2.1 Total viviendas principales;413
43032  Bot;2 Total viviendas familiares;470
43032  Bot;2.1 Total viviendas principales;251
43033  Botarell;2 Total viviendas familiares;498
43033  Botarell;2.1 Total viviendas principales;409
10031  Botija;2 Total viviendas familiares;261
10031  Botija;2.1 Total viviendas principales;93
50056  Botorrita;2 Total viviendas familiares;321
50056  Botorrita;2.1 Total viviendas principales;223
37056  Bouza, La;2 Total viviendas familiares;58
37056  Bouza, La;2.1 Total viviendas principales;29
27008  Bóveda;2 Total viviendas familiares;1.241
27008  Bóveda;2.1 Total viviendas principales;662
49024  Bóveda de Toro, La;2 Total viviendas familiares;693
49024  Bóveda de Toro, La;2.1 Total viviendas principales;370
37057  Bóveda del Río Almar;2 Total viviendas familiares;188
37057  Bóveda del Río Almar;2.1 Total viviendas principales;99
25056  Bovera;2 Total viviendas familiares;241
25056  Bovera;2.1 Total viviendas principales;125
09054  Bozoó;2 Total viviendas familiares;123
09054  Bozoó;2.1 Total viviendas principales;38
05039  Brabos;2 Total viviendas familiares;75
05039  Brabos;2.1 Total viviendas principales;20
43034  Bràfim;2 Total viviendas familiares;402
43034  Bràfim;2.1 Total viviendas principales;275
47025  Brahojos de Medina;2 Total viviendas familiares;107
47025  Brahojos de Medina;2.1 Total viviendas principales;54
34036  Brañosera;2 Total viviendas familiares;529
34036  Brañosera;2.1 Total viviendas principales;111
28024  Braojos;2 Total viviendas familiares;238
28024  Braojos;2.1 Total viviendas principales;86
09055  Brazacorta;2 Total viviendas familiares;103
09055  Brazacorta;2.1 Total viviendas principales;25
13024  Brazatortas;2 Total viviendas familiares;854
13024  Brazatortas;2.1 Total viviendas principales;459
24023  Brazuelo;2 Total viviendas familiares;333
24023  Brazuelo;2.1 Total viviendas principales;148
50057  Brea de Aragón;2 Total viviendas familiares;940
50057  Brea de Aragón;2.1 Total viviendas principales;667
28025  Brea de Tajo;2 Total viviendas familiares;474
28025  Brea de Tajo;2.1 Total viviendas principales;199
17027  Breda;2 Total viviendas familiares;1.774
17027  Breda;2.1 Total viviendas principales;1.461
41018  Brenes;2 Total viviendas familiares;5.194
41018  Brenes;2.1 Total viviendas principales;4.637
38008  Breña Alta;2 Total viviendas familiares;3.218
38008  Breña Alta;2.1 Total viviendas principales;2.711
38009  Breña Baja;2 Total viviendas familiares;2.977
38009  Breña Baja;2.1 Total viviendas principales;1.986
49025  Bretó;2 Total viviendas familiares;203
49025  Bretó;2.1 Total viviendas principales;100
49026  Bretocino;2 Total viviendas familiares;215
49026  Bretocino;2.1 Total viviendas principales;117
40033  Brieva;2 Total viviendas familiares;127
40033  Brieva;2.1 Total viviendas principales;38
26032  Brieva de Cameros;2 Total viviendas familiares;120
26032  Brieva de Cameros;2.1 Total viviendas principales;28
19053  Brihuega;2 Total viviendas familiares;3.240
19053  Brihuega;2.1 Total viviendas principales;1.065
49027  Brime de Sog;2 Total viviendas familiares;159
49027  Brime de Sog;2.1 Total viviendas principales;97
49028  Brime de Urz;2 Total viviendas familiares;116
49028  Brime de Urz;2.1 Total viviendas principales;60
37058  Brincones;2 Total viviendas familiares;92
37058  Brincones;2.1 Total viviendas principales;31
26033  Briñas;2 Total viviendas familiares;206
26033  Briñas;2.1 Total viviendas principales;96
15013  Brión;2 Total viviendas familiares;3.659
15013  Brión;2.1 Total viviendas principales;2.629
26034  Briones;2 Total viviendas familiares;914
26034  Briones;2.1 Total viviendas principales;372
09056  Briviesca;2 Total viviendas familiares;5.244
09056  Briviesca;2.1 Total viviendas principales;3.037
44045  Bronchales;2 Total viviendas familiares;797
44045  Bronchales;2.1 Total viviendas principales;232
22069  Broto;2 Total viviendas familiares;756
22069  Broto;2.1 Total viviendas principales;193
10032  Brozas;2 Total viviendas familiares;1.582
10032  Brozas;2.1 Total viviendas principales;815
08025  Bruc, El;2 Total viviendas familiares;1.068
08025  Bruc, El;2.1 Total viviendas principales;729
08026  Brull, El;2 Total viviendas familiares;140
08026  Brull, El;2.1 Total viviendas principales;76
28026  Brunete;2 Total viviendas familiares;4.086
28026  Brunete;2.1 Total viviendas principales;3.402
17028  Brunyola;2 Total viviendas familiares;185
17028  Brunyola;2.1 Total viviendas principales;129
42041  Buberos;2 Total viviendas familiares;49
42041  Buberos;2.1 Total viviendas principales;16
50058  Bubierca;2 Total viviendas familiares;120
50058  Bubierca;2.1 Total viviendas principales;44
18032  Bubión;2 Total viviendas familiares;462
18032  Bubión;2.1 Total viviendas principales;153
16038  Buciegas;2 Total viviendas familiares;112
16038  Buciegas;2.1 Total viviendas principales;29
19054  Budia;2 Total viviendas familiares;366
19054  Budia;2.1 Total viviendas principales;91
16039  Buenache de Alarcón;2 Total viviendas familiares;762
16039  Buenache de Alarcón;2.1 Total viviendas principales;255
16040  Buenache de la Sierra;2 Total viviendas familiares;174
16040  Buenache de la Sierra;2.1 Total viviendas principales;68
37059  Buenamadre;2 Total viviendas familiares;112
37059  Buenamadre;2.1 Total viviendas principales;53
45022  Buenaventura;2 Total viviendas familiares;538
45022  Buenaventura;2.1 Total viviendas principales;206
37060  Buenavista;2 Total viviendas familiares;249
37060  Buenavista;2.1 Total viviendas principales;106
34037  Buenavista de Valdavia;2 Total viviendas familiares;383
34037  Buenavista de Valdavia;2.1 Total viviendas principales;175
38010  Buenavista del Norte;2 Total viviendas familiares;2.037
38010  Buenavista del Norte;2.1 Total viviendas principales;1.840
16041  Buendía;2 Total viviendas familiares;608
16041  Buendía;2.1 Total viviendas principales;179
44046  Bueña;2 Total viviendas familiares;74
44046  Bueña;2.1 Total viviendas principales;36
36004  Bueu;2 Total viviendas familiares;6.720
36004  Bueu;2.1 Total viviendas principales;4.006
46075  Bufali;2 Total viviendas familiares;97
46075  Bufali;2.1 Total viviendas principales;71
46076  Bugarra;2 Total viviendas familiares;681
46076  Bugarra;2.1 Total viviendas principales;334
09057  Bugedo;2 Total viviendas familiares;122
09057  Bugedo;2.1 Total viviendas principales;92
07009  Búger;2 Total viviendas familiares;706
07009  Búger;2.1 Total viviendas principales;421
42042  Buitrago;2 Total viviendas familiares;47
42042  Buitrago;2.1 Total viviendas principales;23
28027  Buitrago del Lozoya;2 Total viviendas familiares;1.233
28027  Buitrago del Lozoya;2.1 Total viviendas principales;740
14012  Bujalance;2 Total viviendas familiares;3.987
14012  Bujalance;2.1 Total viviendas principales;2.714
19055  Bujalaro;2 Total viviendas familiares;137
19055  Bujalaro;2.1 Total viviendas principales;29
50059  Bujaraloz;2 Total viviendas familiares;464
50059  Bujaraloz;2.1 Total viviendas principales;395
05040  Bularros;2 Total viviendas familiares;97
05040  Bularros;2.1 Total viviendas principales;44
50060  Bulbuente;2 Total viviendas familiares;262
50060  Bulbuente;2.1 Total viviendas principales;99
30012  Bullas;2 Total viviendas familiares;6.348
30012  Bullas;2.1 Total viviendas principales;4.440
09058  Buniel;2 Total viviendas familiares;333
09058  Buniel;2.1 Total viviendas principales;209
07010  Bunyola;2 Total viviendas familiares;3.237
07010  Bunyola;2.1 Total viviendas principales;2.360
46077  Buñol;2 Total viviendas familiares;5.328
46077  Buñol;2.1 Total viviendas principales;3.753
31057  Buñuel;2 Total viviendas familiares;1.252
31057  Buñuel;2.1 Total viviendas principales;929
44047  Burbáguena;2 Total viviendas familiares;306
44047  Burbáguena;2.1 Total viviendas principales;90
27902  Burela;2 Total viviendas familiares;5.632
27902  Burela;2.1 Total viviendas principales;3.703
50061  Bureta;2 Total viviendas familiares;185
50061  Bureta;2.1 Total viviendas principales;115
49029  Burganes de Valverde;2 Total viviendas familiares;448
49029  Burganes de Valverde;2.1 Total viviendas principales;274
50062  Burgo de Ebro, El;2 Total viviendas familiares;1.368
50062  Burgo de Ebro, El;2.1 Total viviendas principales;963
42043  Burgo de Osma-Ciudad de Osma;2 Total viviendas familiares;4.433
42043  Burgo de Osma-Ciudad de Osma;2.1 Total viviendas principales;2.008
24024  Burgo Ranero, El;2 Total viviendas familiares;820
24024  Burgo Ranero, El;2.1 Total viviendas principales;339
29031  Burgo, El;2 Total viviendas familiares;1.269
29031  Burgo, El;2.1 Total viviendas principales;766
05041  Burgohondo;2 Total viviendas familiares;1.795
05041  Burgohondo;2.1 Total viviendas principales;617
09059  Burgos;2 Total viviendas familiares;92.076
09059  Burgos;2.1 Total viviendas principales;71.076
31059  Burgui/Burgi;2 Total viviendas familiares;222
31059  Burgui/Burgi;2.1 Total viviendas principales;97
41019  Burguillos;2 Total viviendas familiares;2.801
41019  Burguillos;2.1 Total viviendas principales;2.201
45023  Burguillos de Toledo;2 Total viviendas familiares;1.611
45023  Burguillos de Toledo;2.1 Total viviendas principales;983
06022  Burguillos del Cerro;2 Total viviendas familiares;2.085
06022  Burguillos del Cerro;2.1 Total viviendas principales;1.244
46078  Burjassot;2 Total viviendas familiares;18.287
46078  Burjassot;2.1 Total viviendas principales;15.037
31060  Burlada/Burlata;2 Total viviendas familiares;7.365
31060  Burlada/Burlata;2.1 Total viviendas principales;6.584
24025  Burón;2 Total viviendas familiares;296
24025  Burón;2.1 Total viviendas principales;162
45024  Burujón;2 Total viviendas familiares;656
45024  Burujón;2.1 Total viviendas principales;530
03046  Busot;2 Total viviendas familiares;1.876
03046  Busot;2.1 Total viviendas principales;1.267
18033  Busquístar;2 Total viviendas familiares;315
18033  Busquístar;2.1 Total viviendas principales;120
19057  Bustares;2 Total viviendas familiares;125
19057  Bustares;2.1 Total viviendas principales;40
28028  Bustarviejo;2 Total viviendas familiares;2.409
28028  Bustarviejo;2.1 Total viviendas principales;952
50063  Buste, El;2 Total viviendas familiares;117
50063  Buste, El;2.1 Total viviendas principales;33
47026  Bustillo de Chaves;2 Total viviendas familiares;44
47026  Bustillo de Chaves;2.1 Total viviendas principales;22
34038  Bustillo de la Vega;2 Total viviendas familiares;214
34038  Bustillo de la Vega;2.1 Total viviendas principales;128
49030  Bustillo del Oro;2 Total viviendas familiares;140
49030  Bustillo del Oro;2.1 Total viviendas principales;38
24026  Bustillo del Páramo;2 Total viviendas familiares;1.056
24026  Bustillo del Páramo;2.1 Total viviendas principales;558
34039  Bustillo del Páramo de Carrión;2 Total viviendas familiares;69
34039  Bustillo del Páramo de Carrión;2.1 Total viviendas principales;29
09060  Busto de Bureba;2 Total viviendas familiares;204
09060  Busto de Bureba;2.1 Total viviendas principales;89
31061  Busto, El;2 Total viviendas familiares;52
31061  Busto, El;2.1 Total viviendas principales;39
48021  Busturia;2 Total viviendas familiares;1.354
48021  Busturia;2.1 Total viviendas principales;693
43035  Cabacés;2 Total viviendas familiares;236
43035  Cabacés;2.1 Total viviendas principales;128
37061  Cabaco, El;2 Total viviendas familiares;250
37061  Cabaco, El;2.1 Total viviendas principales;116
40034  Caballar;2 Total viviendas familiares;167
40034  Caballar;2.1 Total viviendas principales;42
15014  Cabana de Bergantiños;2 Total viviendas familiares;2.381
15014  Cabana de Bergantiños;2.1 Total viviendas principales;1.549
25060  Cabanabona;2 Total viviendas familiares;77
25060  Cabanabona;2.1 Total viviendas principales;26
15015  Cabanas;2 Total viviendas familiares;2.395
15015  Cabanas;2.1 Total viviendas principales;1.244
17031  Cabanelles;2 Total viviendas familiares;153
17031  Cabanelles;2.1 Total viviendas principales;104
12033  Cabanes;2 Total viviendas familiares;2.820
12033  Cabanes;2.1 Total viviendas principales;1.230
17030  Cabanes;2 Total viviendas familiares;455
17030  Cabanes;2.1 Total viviendas principales;346
31062  Cabanillas;2 Total viviendas familiares;749
31062  Cabanillas;2.1 Total viviendas principales;554
28029  Cabanillas de la Sierra;2 Total viviendas familiares;628
28029  Cabanillas de la Sierra;2.1 Total viviendas principales;310
19058  Cabanillas del Campo;2 Total viviendas familiares;4.156
19058  Cabanillas del Campo;2.1 Total viviendas principales;3.261
08027  Cabanyes, Les;2 Total viviendas familiares;341
08027  Cabanyes, Les;2.1 Total viviendas principales;308
50064  Cabañas de Ebro;2 Total viviendas familiares;283
50064  Cabañas de Ebro;2.1 Total viviendas principales;204
45025  Cabañas de la Sagra;2 Total viviendas familiares;899
45025  Cabañas de la Sagra;2.1 Total viviendas principales;674
40035  Cabañas de Polendos;2 Total viviendas familiares;158
40035  Cabañas de Polendos;2.1 Total viviendas principales;85
49031  Cabañas de Sayago;2 Total viviendas familiares;160
49031  Cabañas de Sayago;2.1 Total viviendas principales;71
45026  Cabañas de Yepes;2 Total viviendas familiares;337
45026  Cabañas de Yepes;2.1 Total viviendas principales;146
10033  Cabañas del Castillo;2 Total viviendas familiares;525
10033  Cabañas del Castillo;2.1 Total viviendas principales;214
24027  Cabañas Raras;2 Total viviendas familiares;762
24027  Cabañas Raras;2.1 Total viviendas principales;505
09061  Cabañes de Esgueva;2 Total viviendas familiares;156
09061  Cabañes de Esgueva;2.1 Total viviendas principales;90
37063  Cabeza de Béjar, La;2 Total viviendas familiares;123
37063  Cabeza de Béjar, La;2.1 Total viviendas principales;43
06023  Cabeza del Buey;2 Total viviendas familiares;3.428
06023  Cabeza del Buey;2.1 Total viviendas principales;1.942
37065  Cabeza del Caballo;2 Total viviendas familiares;327
37065  Cabeza del Caballo;2.1 Total viviendas principales;169
06024  Cabeza la Vaca;2 Total viviendas familiares;1.088
06024  Cabeza la Vaca;2.1 Total viviendas principales;559
10034  Cabezabellosa;2 Total viviendas familiares;477
10034  Cabezabellosa;2.1 Total viviendas principales;181
37062  Cabezabellosa de la Calzada;2 Total viviendas familiares;99
37062  Cabezabellosa de la Calzada;2.1 Total viviendas principales;47
45027  Cabezamesada;2 Total viviendas familiares;495
45027  Cabezamesada;2.1 Total viviendas principales;212
13025  Cabezarados;2 Total viviendas familiares;235
13025  Cabezarados;2.1 Total viviendas principales;154
13026  Cabezarrubias del Puerto;2 Total viviendas familiares;516
13026  Cabezarrubias del Puerto;2.1 Total viviendas principales;261
05042  Cabezas de Alambre;2 Total viviendas familiares;95
05042  Cabezas de Alambre;2.1 Total viviendas principales;80
41020  Cabezas de San Juan, Las;2 Total viviendas familiares;7.767
41020  Cabezas de San Juan, Las;2.1 Total viviendas principales;5.571
05043  Cabezas del Pozo;2 Total viviendas familiares;92
05043  Cabezas del Pozo;2.1 Total viviendas principales;39
05044  Cabezas del Villar;2 Total viviendas familiares;506
05044  Cabezas del Villar;2.1 Total viviendas principales;146
21015  Cabezas Rubias;2 Total viviendas familiares;526
21015  Cabezas Rubias;2.1 Total viviendas principales;347
26035  Cabezón de Cameros;2 Total viviendas familiares;46
26035  Cabezón de Cameros;2.1 Total viviendas principales;17
39012  Cabezón de la Sal;2 Total viviendas familiares;4.176
39012  Cabezón de la Sal;2.1 Total viviendas principales;3.120
09062  Cabezón de la Sierra;2 Total viviendas familiares;70
09062  Cabezón de la Sierra;2.1 Total viviendas principales;25
39013  Cabezón de Liébana;2 Total viviendas familiares;531
39013  Cabezón de Liébana;2.1 Total viviendas principales;380
47027  Cabezón de Pisuerga;2 Total viviendas familiares;1.940
47027  Cabezón de Pisuerga;2.1 Total viviendas principales;1.404
47028  Cabezón de Valderaduey;2 Total viviendas familiares;21
47028  Cabezón de Valderaduey;2.1 Total viviendas principales;15
40036  Cabezuela;2 Total viviendas familiares;603
40036  Cabezuela;2.1 Total viviendas principales;281
10035  Cabezuela del Valle;2 Total viviendas familiares;1.526
10035  Cabezuela del Valle;2.1 Total viviendas principales;909
05045  Cabizuela;2 Total viviendas familiares;81
05045  Cabizuela;2.1 Total viviendas principales;38
25061  Cabó;2 Total viviendas familiares;103
25061  Cabó;2.1 Total viviendas principales;38
50065  Cabolafuente;2 Total viviendas familiares;149
50065  Cabolafuente;2.1 Total viviendas principales;17
14013  Cabra;2 Total viviendas familiares;10.120
14013  Cabra;2.1 Total viviendas principales;7.939
44048  Cabra de Mora;2 Total viviendas familiares;141
44048  Cabra de Mora;2.1 Total viviendas principales;26
43036  Cabra del Camp;2 Total viviendas familiares;973
43036  Cabra del Camp;2.1 Total viviendas principales;413
23017  Cabra del Santo Cristo;2 Total viviendas familiares;1.271
23017  Cabra del Santo Cristo;2.1 Total viviendas principales;759
33008  Cabrales;2 Total viviendas familiares;1.514
33008  Cabrales;2.1 Total viviendas principales;923
33009  Cabranes;2 Total viviendas familiares;1.202
33009  Cabranes;2.1 Total viviendas principales;530
31063  Cabredo;2 Total viviendas familiares;95
31063  Cabredo;2.1 Total viviendas principales;53
42044  Cabrejas del Campo;2 Total viviendas familiares;61
42044  Cabrejas del Campo;2.1 Total viviendas principales;29
42045  Cabrejas del Pinar;2 Total viviendas familiares;366
42045  Cabrejas del Pinar;2.1 Total viviendas principales;190
08028  Cabrera d'Anoia;2 Total viviendas familiares;1.116
08028  Cabrera d'Anoia;2.1 Total viviendas principales;526
08029  Cabrera de Mar;2 Total viviendas familiares;2.264
08029  Cabrera de Mar;2.1 Total viviendas principales;1.606
28030  Cabrera, La;2 Total viviendas familiares;1.722
28030  Cabrera, La;2.1 Total viviendas principales;915
37067  Cabrerizos;2 Total viviendas familiares;1.746
37067  Cabrerizos;2.1 Total viviendas principales;1.388
