Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0056143-V;Vivienda 56143-V;VALENCIA/VALÈNCIA;SAN ANTONIO DE BENAGÉBER;46184;CL GARSA, 59, Bloque:A Es:1 Pl:00 Pt:59;;01/08/2024;4720711YJ1842S0064TA;;N;198,00;4;N;2;4;0;0;2
CV-VUT0054442-V;Vivienda 54442-V;VALENCIA/VALÈNCIA;SAN ANTONIO DE BENAGÉBER;46184;CL SEVERO OCHOA, 19;;15/02/2024;4923617YJ1842S0004SG;;N;216,00;6;N;3;6;0;0;3
CV-VUT0049068-V;Vivienda 49068-V;VALENCIA/VALÈNCIA;SAN ANTONIO DE BENAGÉBER;46184;CL PERDIU, 27, Es:T Pl:OD Pt:OS;;25/02/2020;5012862YJ1851S0001PX;;N;265,00;10;N;5;10;0;0;5
CV-VUT0044687-V;Vivienda 44687-V;VALENCIA/VALÈNCIA;SAN ANTONIO DE BENAGÉBER;46184;CL XUQUER, 3, Es:T Pl:OD Pt:OS;;29/12/2017;3843629YJ1734S0001JF;;N;237,00;6;N;3;6;0;0;3
CV-VUT0048648-V;Vivienda 48648-V;VALENCIA/VALÈNCIA;SAN ANTONIO DE BENAGÉBER;46184;CL COLOM, 1, Es:T Pl:OD Pt:OS;;29/10/2019;5410114YJ1851S0001AX;;N;375,00;10;N;5;10;0;0;5
CV-VUT0049535-V;Vivienda 49535-V;VALENCIA/VALÈNCIA;SAN ANTONIO DE BENAGÉBER;46184;CL GARSA, 45, Bloque:A Es:1 Pl:00 Pt:45;;29/09/2020;4720711YJ1842S0057QU;;N;198,00;8;N;4;8;0;0;4
CV-VUT0058821-V;;VALENCIA/VALÈNCIA;SAN ANTONIO DE BENAGÉBER;46184;CL RASCLO, 5;;20/07/2025;5209217YJ1850N0001XB;46045000037436;N;293,00;8;N;4;8;0;0;4
CV-VUT0050139-V;Vivienda 50139-V;VALENCIA/VALÈNCIA;SAN ANTONIO DE BENAGÉBER;46184;CL OLLERIA, 2, Es:1 Pl:01 Pt:C;;08/06/2021;4722520YJ1842S0005BH;;N;94,00;6;N;3;6;0;0;3
CV-VUT0050140-V;Vivienda 50140-V;VALENCIA/VALÈNCIA;SAN ANTONIO DE BENAGÉBER;46184;CL OLLERIA, 2, Es:1 Pl:01 Pt:A;;08/06/2021;4722520YJ1842S0003KF;;N;60,00;2;N;1;2;0;0;1
CV-VUT0050141-V;Vivienda 50141-V;VALENCIA/VALÈNCIA;SAN ANTONIO DE BENAGÉBER;46184;CL OLLERIA, 2, Es:1 Pl:01 Pt:B;;08/06/2021;4722520YJ1842S0004LG;;N;62,00;2;N;1;2;0;0;1
