Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0053753-V;Vivienda 53753-V;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL CARLOS MAS, 11, Es:1 Pl:01 Pt:01;;26/10/2023;5356705XJ9055E0002XX;;N;189,00;8;N;4;8;0;0;4
CV-VUT0053300-V;Vivienda 53300-V;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL SANTA BARBARA, 5, Es:T Pl:OD Pt:OS;;03/08/2023;5153604XJ9055C0001OE;;N;55,00;2;N;1;2;0;0;1
CV-VUT0054961-V;Vivienda 54961-V;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL VENERABLE PADRE MORENO, 17A, Es:1 Pl:01 Pt:01;;18/04/2024;5255229XJ9055E0002YX;;N;184,00;8;N;4;8;0;0;4
CV-VUT0049352-V;Vivienda 49352-V;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL SANTA BARBARA, 18, Es:T Pl:OD Pt:OS;;10/07/2020;5352509XJ9055C0001YE;;N;151,00;6;N;3;6;0;0;3
CV-VUT0048694-V;Vivienda 48694-V;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL ALVARO NACHER, 4, Es:1 Pl:02 Pt:02;;04/11/2019;5055105XJ9055E0003KM;;N;75,00;4;N;2;4;0;0;2
CV-VUT0053902-V;Vivienda 53902-V;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL FONT DEL ROURE, 5, Es:T Pl:OD Pt:OS;;21/11/2023;13838F9XJ9008S0001JE;;N;154,00;4;N;2;4;0;0;2
CV-VUT0053736-V;Vivienda 53736-V;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL MIRADOR D'ÈNGUERA, 24, Es:T Pl:OD Pt:OS;;25/10/2023;1383813XJ9018S0001HU;;N;309,00;6;N;3;6;0;0;3
CV-VUT0051558-V;Vivienda 51558-V;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL FONT DEL ROURE, 82, Es:T Pl:OD Pt:OS;;06/09/2022;1780704XJ9018S0001EU;;N;224,00;2;N;1;2;0;0;1
CV-VUT0058839-V;;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL MIRADOR D'ENGUERA, 21, Es:T Pl:OD Pt:OS;;18/07/2025;1383852XJ9018S0001YU;;N;131,00;6;N;3;6;0;0;3
CV-VUT0052807-V;Vivienda 52807-V;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL BARRANC DE FALAGUERA, 7, Es:T Pl:OD Pt:OS;;07/06/2023;1285412XJ9018N0001OX;;N;110,00;4;N;1;2;2;2;3
CV-VUT0049214-V;Vivienda 49214-V;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CL SANTA BARBARA, 29, Es:T Pl:OD Pt:OS;;08/06/2020;5354237XJ9055C0001FE;;N;201,00;8;N;4;8;0;0;4
