Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0058498-V;;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46780;UR TOSSAL GROSS, 124B, Es:T Pl:OD Pt:OS;;09/06/2025;74160I6YJ4171N0001PM;;N;165,00;8;N;4;8;0;0;4
CV-VUT0055901-V;Vivienda 55901-V;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46717;UR TOSSAL GROSS, 8, Es:1 Pl:00 Pt:01;;15/07/2024;7416006YJ4171N0001KM;;N;127,00;4;N;2;4;0;0;2
CV-VUT0051702-V;Vivienda 51702-V;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46717;UR TOSSAL GROSS, 230, Es:T Pl:OD Pt:OS;;28/10/2022;7416120YJ4171N0001WM;;N;149,00;6;N;3;6;0;0;3
CV-VUT0053203-V;Vivienda 53203-V;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46717;UR TOSSAL GROSS, 16, Es:1 Pl:01 Pt:01;;20/07/2023;7416016YJ4171N0002DQ;;N;117,00;12;N;6;12;0;0;6
CV-VUT0053204-V;Vivienda 53204-V;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46717;UR TOSSAL GROSS, 16, Es:3 Pl:01 Pt:03;;20/07/2023;7416016YJ4171N0004GE;;N;117,00;4;N;2;4;0;0;2
CV-VUT0053205-V;Vivienda 53205-V;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46717;UR TOSSAL GROSS, 16, Es:2 Pl:01 Pt:02;;20/07/2023;7416016YJ4171N0003FW;;N;117,00;4;N;2;4;0;0;2
CV-VUT0038416-V;Vivienda 38416-V;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46717;CL D'ARRULLADOR, 2, Bloque:1 Es:1 Pl:02 Pt:C2;;02/11/2016;5116301YJ4151N0043DX;;N;114,00;4;N;1;2;2;2;3
CV-VUT0040024-V;Vivienda 40024-V;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46717;UR PANORAMA I, 1, Es:T Pl:OD Pt:OS;;22/03/2017;8217603YJ4181N0001ER;;N;300,00;8;N;4;8;0;0;4
CV-VUT0055604-V;Vivienda 55604-V;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46717;CL MAJOR, 37, Bloque:A Es:T Pl:OD Pt:OS;;13/06/2024;5516419YJ4151N0001ZG;;N;210,00;8;N;4;8;0;0;4
CV-VUT0054192-V;Vivienda 54192-V;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46717;UR TOSSAL GROSS, 226, Es:B Pl:00 Pt:01;;11/01/2024;7416110YJ4171N0001IM;;N;77,00;2;N;1;2;0;0;1
CV-VUT0049160-V;Vivienda 49160-V;VALENCIA/VALÈNCIA;FONT D'EN CARRÒS, LA;46780;UR PANORAMA I, 43, Es:T Pl:OD Pt:OS;;04/03/2020;8015313YJ4181N0001FR;;N;197,00;4;N;2;4;0;0;2
