Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0057232-V;;VALENCIA/VALÈNCIA;REQUENA;46390;CL SAN VICENTE CALDERON, 2, Es:1 Pl:00 Pt:00;;31/01/2025;6073604XJ5576C0001IT;;N;325,00;16;N;8;16;0;0;8
CV-VUT0057508-V;;VALENCIA/VALÈNCIA;REQUENA;46340;CL FUENTE REINAS, 35, Pl:00;;26/02/2025;3930802XJ6733S0004AQ;;N;129,00;4;N;2;4;0;0;2
CV-VUT0058484-V;VIVIENDA TURÍSTICA;VALENCIA/VALÈNCIA;REQUENA;46340;CL CRISTO, 11, Es:1 Pl:00 Pt:00;;05/06/2025;3326812XJ6732E0001XU;;N;190,00;5;N;2;4;1;1;3
CV-VUT0058640-V;VILLA BOBAL - ROCIO CORTES GRAO;VALENCIA/VALÈNCIA;REQUENA;46340;CL PARRAS LAS, 11, Es:1 Pl:00 Pt:01;;01/07/2025;5128101XJ6752N0001BR;;N;288,00;8;N;4;8;0;0;4
CV-VUT0056661-V;Vivienda 56661-V;VALENCIA/VALÈNCIA;REQUENA;46340;CL MADRID, 35, Es:1 Pl:00 Pt:01;;16/11/2024;2725918XJ6722F0001US;;N;162,00;8;N;4;8;0;0;4
CV-VUT0052278-V;Vivienda 52278-V;VALENCIA/VALÈNCIA;REQUENA;46355;CL CLARIN PEDRONES, 10, Es:1 Pl:00 Pt:01;;30/03/2023;4960605XJ6555G0001UT;;N;243,00;12;N;6;12;0;0;6
CV-VUT0051549-V;Vivienda 51549-V;VALENCIA/VALÈNCIA;REQUENA;46340;PL POLIGONO 53, 231N, Es:T Pl:OD Pt:OS;;06/09/2022;001002000XJ67A0001QB;;N;127,00;10;N;5;10;0;0;5
CV-VUT0051553-V;Vivienda 51553-V;VALENCIA/VALÈNCIA;REQUENA;;Polígono 53 Parcela 125 EL CERRITO. REQUENA (VALENCIA);www.casitaslapurisima.com;06/09/2022;46215A053001250000QO;;N;;2;N;1;2;0;0;1
CV-VUT0053207-V;Vivienda 53207-V;VALENCIA/VALÈNCIA;REQUENA;46340;CL ALFONSO DE LA CERDA, 2, Es:D Pl:00 Pt:03;;20/07/2023;3828813XJ6732H0038YH;;N;108,00;6;N;3;6;0;0;3
CV-VUT0050888-V;Vivienda 50888-V;VALENCIA/VALÈNCIA;REQUENA;46357;DS DISEMINADOS,, Es:T Pl:OD Pt:OS;;26/04/2022;46215A065000020001WA;;N;428,00;8;N;4;8;0;0;4
CV-VUT0002233-V;Vivienda 2233-V;VALENCIA/VALÈNCIA;REQUENA;46340;PL POLIGONO 53, 231A, Es:1 Pl:00 Pt:01;www.casitaslapurisima.com;21/03/1994;001000400XJ67A0001EB;;N;68,00;8;N;4;8;0;0;4
CV-VUT0002237-V;Vivienda 2237-V;VALENCIA/VALÈNCIA;REQUENA;46340;PL POLIGONO 53, 234B, Es:T Pl:OD Pt:OS;www.casitaslapurisima.com;21/03/1994;000500400XJ67A0001HB;;N;102,00;8;N;4;8;0;0;4
CV-VUT0002242-V;Vivienda 2242-V;VALENCIA/VALÈNCIA;REQUENA;46340;DS DISEMINADOS, 82, Es:1 Pl:00 Pt:01;;21/03/1994;46215A053004740001WY;;N;55,00;4;N;2;4;0;0;2
CV-VUT0002236-V;Vivienda 2236-V;VALENCIA/VALÈNCIA;REQUENA;46340;PL POLIGONO 53, 231K, Es:1 Pl:00 Pt:01;www.casitaslapurisima.com;21/03/1994;001001700XJ67A0001QB;;N;48,00;6;N;3;6;0;0;3
