Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0055693-V;Vivienda 55693-V;VALENCIA/VALÈNCIA;UTIEL;46300;C CORRALAZO DEL PAÑO, 5 Pl:PB Pt:1;;24/06/2024;;CRU: 46015001702923;N;;4;N;2;4;0;0;2
CV-VUT0055694-V;Vivienda 55694-V;VALENCIA/VALÈNCIA;UTIEL;46300;C CORRALAZO DEL PAÑO, 5 Pl:1º Pt:2;;24/06/2024;;CRU: 46015001702930;N;;4;N;2;4;0;0;2
CV-VUT0034767-V;Vivienda 34767-V;VALENCIA/VALÈNCIA;UTIEL;46300;CL CERVANTES, 34, Es:1 Pl:01 Pt:01;;23/03/2015;4714312XJ5841D0002IW;;N;117,00;4;N;2;4;0;0;2
CV-VUT0031505-V;Vivienda 31505-V;VALENCIA/VALÈNCIA;UTIEL;46300;CL BARCELONA, 6, Es:T Pl:OD Pt:OS;;22/04/2008;4516328XJ5841F0001SL;;N;671,00;3;N;1;2;1;1;2
CV-VUT0049622-V;Vivienda 49622-V;VALENCIA/VALÈNCIA;UTIEL;46313;CL SERVETINAL, 29, Es:T Pl:OD Pt:OS;;10/11/2020;8444905XJ4884C0001GQ;;N;185,00;10;N;5;10;0;0;5
CV-VUT0055695-V;Vivienda 55695-V;VALENCIA/VALÈNCIA;UTIEL;46300;C CORRALAZO DEL PAÑO, 5 Pl:2º Pt:3;;24/06/2024;;CRU: 46015001702947;N;;4;N;2;4;0;0;2
