Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0052919-V;Vivienda 52919-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL COLLADO EL, 160, Es:T Pl:OD Pt:OS;;20/06/2023;7353511XK6275C0001TM;;N;146,00;6;N;3;6;0;0;3
CV-VUT0031135-V;Vivienda 31135-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL CUEVARRUZ, 58, Es:1 Pl:00 Pt:A2 - DIMONI;;09/03/2007;2624504XK7222D0003SZ;;S;82,00;4;N;2;4;0;0;2
CV-VUT0031136-V;Vivienda 31136-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL CUEVARRUZ, 58, Es:1 Pl:01 Pt:A3 -  BALCONET;;09/03/2007;2624504XK7222D0005FM;;S;91,00;4;N;2;4;0;0;2
CV-VUT0031137-V;Vivienda 31137-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL CUEVARRUZ, 58, Es:1 Pl:01 Pt:A4 - ELS SERRANS;;09/03/2007;2624504XK7222D0006GQ;;S;82,00;4;N;2;4;0;0;2
CV-VUT0056296-V;Vivienda 56296-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL ERAS LAS, 108, Es:T Pl:OD Pt:OS;;06/09/2024;0369801XK7106G0001BO;;S;135,00;4;N;2;4;0;0;2
CV-VUT0049136-V;Vivienda 49136-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AV SAN BLAS, 51, Es:T Pl:OD Pt:OS;;27/02/2020;0060401XK7106A0001YQ;;S;777,00;6;N;3;6;0;0;3
CV-VUT0044519-V;Vivienda 44519-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL ALMEZA LA, 114, Es:T Pl:OD Pt:OS;;19/12/2017;1029603XK7212G0001LL;;N;237,00;8;N;4;8;0;0;4
CV-VUT0048884-V;Vivienda 48884-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AV SAN BLAS, 19, Es:T Pl:OD Pt:OS;;09/01/2020;0058601XK7105G0001LG;;S;292,00;6;N;3;6;0;0;3
CV-VUT0049521-V;Vivienda 49521-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;CM LAVADERO, 5, Es:S Pl:UE Pt:LO;;28/09/2020;0158103XK7105G0001OG;;N;64,00;2;N;1;2;0;0;1
CV-VUT0051023-V;Vivienda 51023-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL BALDOVAR, 101, Es:T Pl:OD Pt:OS;;18/05/2022;7982303XK6178D0001RO;;N;217,00;8;N;4;8;0;0;4
CV-VUT0057223-V;El piset de Baldovar;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL BALDOVAR, 56A;;31/01/2025;8182404XK6188C0001WR;;N;365,00;5;N;2;4;1;1;3
CV-VUT0049129-V;Vivienda 49129-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AV SAN BLAS, 51, Es:T Pl:OD Pt:OS;;09/03/2020;0060401XK7106A0001YQ;;S;777,00;6;N;3;6;0;0;3
CV-VUT0056640-V;Vivienda 56640-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;CL SANTA AGUEDA, 3, Es:T Pl:OD Pt:OS;;09/11/2024;0257204XK7105E0001OB;;N;99,00;5;N;2;4;1;1;3
CV-VUT0050689-V;Vivienda 50689-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL CUEVARRUZ, 31, Es:T Pl:OD Pt:OS;;25/02/2022;2525606XK7222F0001XF;;S;182,00;6;N;3;6;0;0;3
CV-VUT0051565-V;Vivienda 51565-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL BALDOVAR, 127, Es:T Pl:OD Pt:OS;;13/09/2022;7882705XK6178B0001MF;;S;172,00;10;N;5;10;0;0;5
CV-VUT0031134-V;Vivienda 31134-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL CUEVARRUZ, 62, Es:1 Pl:00 Pt:A1 - RATOLI;;09/03/2007;2624504XK7222D0002AB;;S;91,00;4;N;2;4;0;0;2
CV-VUT0056617-V;Vivienda 56617-V;VALENCIA/VALÈNCIA;ALPUENTE;46178;AL CORCOLILLA, 132, Es:T Pl:OD Pt:OS;;04/11/2024;9818503XK6291H0001GI;;N;255,00;8;N;4;8;0;0;4
