Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0045735-V;Vivienda 45735-V;VALENCIA/VALÈNCIA;HIGUERUELAS;46162;CL ALICANTE, 20, Es:T Pl:OD Pt:OS;;17/04/2018;3069107XK8036G0001JT;;N;173,00;6;N;3;6;0;0;3
CV-VUT0056910-V;Vivienda 56910-V;VALENCIA/VALÈNCIA;HIGUERUELAS;46162;CL CORAZON DE JESUS, 34, Pl:03 Pt:01;;02/01/2025;3167128XK8036E0006QG;;N;32,00;3;N;1;2;1;1;2
CV-VUT0049644-V;Vivienda 49644-V;VALENCIA/VALÈNCIA;HIGUERUELAS;46162;AV FUENTE, 30, Es:1 Pl:00 Pt:02;;06/11/2020;3268605XK8036N0002XM;;N;53,00;3;N;1;2;1;1;2
CV-VUT0049645-V;Vivienda 49645-V;VALENCIA/VALÈNCIA;HIGUERUELAS;46162;AV FUENTE, 30, Es:1 Pl:01 Pt:03;;06/11/2020;3268605XK8036N0003MQ;;N;51,00;4;N;2;4;0;0;2
CV-VUT0049646-V;Vivienda 49646-V;VALENCIA/VALÈNCIA;HIGUERUELAS;46162;AV FUENTE, 30, Es:1 Pl:01 Pt:04;;06/11/2020;3268605XK8036N0004QW;;N;53,00;4;N;2;4;0;0;2
CV-VUT0049647-V;Vivienda 49647-V;VALENCIA/VALÈNCIA;HIGUERUELAS;46162;AV FUENTE, 32, Es:2 Pl:00 Pt:01;;06/11/2020;3268605XK8036N0007RT;;N;58,00;4;N;2;4;0;0;2
CV-VUT0056658-V;Vivienda 56658-V;VALENCIA/VALÈNCIA;HIGUERUELAS;46162;CL CORAZON DE JESUS, 34, Pl:02 Pt:01;;15/11/2024;3167128XK8036E0005MF;;N;109,00;6;N;3;6;0;0;3
