Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0057932-V;;VALENCIA/VALÈNCIA;ALZIRA;46600;UR SANTA MARINA, 107, Es:T Pl:OD Pt:OS;;26/03/2025;8010081YJ2381S0001OZ;;N;182,00;6;N;3;6;0;0;3
CV-VUT0057988-V;SANTA MARINA 37;VALENCIA/VALÈNCIA;ALZIRA;46600;UR SANTA MARINA, 37;;01/04/2025;8406702YJ2380N0001AL;;N;269,00;4;N;2;4;0;0;2
CV-VUT0053211-V;Vivienda 53211-V;VALENCIA/VALÈNCIA;ALZIRA;46600;CL FELIPE II, 4, Pl:04 Pt:08;;18/07/2023;1663301YJ2316S0022BQ;;N;93,00;6;N;3;6;0;0;3
CV-VUT0050590-V;Vivienda 50590-V;VALENCIA/VALÈNCIA;ALZIRA;46600;CL SANT BERNAT, 6, Pl:BO Pt:01;;30/12/2021;1663103YJ2316S0001GO;;N;110,00;4;N;2;4;0;0;2
CV-VUT0029790-V;Vivienda 29790-V;VALENCIA/VALÈNCIA;ALZIRA;46600;PZ CORBEIL-ESSONES, 2, Es:1 Pl:02 Pt:B;;11/05/2004;1363901YJ2316S0041SF;;N;94,00;6;N;3;6;0;0;3
CV-VUT0036155-V;Vivienda 36155-V;VALENCIA/VALÈNCIA;ALZIRA;46600;CL FENOLL, 13, Es:T Pl:OD Pt:OS;;26/04/2016;3872202YJ2337S0001RA;;N;247,00;6;N;3;6;0;0;3
CV-VUT0055310-V;Vivienda 55310-V;VALENCIA/VALÈNCIA;ALZIRA;46792;CL LA SOLANA, 14, Es:T Pl:OD Pt:OS;;21/05/2024;7514029YJ2371S0001GJ;;N;123,00;6;N;3;6;0;0;3
CV-VUT0053684-V;Vivienda 53684-V;VALENCIA/VALÈNCIA;ALZIRA;46600;CL SANT FRANCESC, 35, Es:T Pl:OD Pt:OS;;18/10/2023;1771518YJ2317S0001KE;;N;98,00;8;N;4;8;0;0;4
CV-VUT0054748-V;Vivienda 54748-V;VALENCIA/VALÈNCIA;ALZIRA;46600;UR SANTA MARINA, 33, Pl:BO Pt:01;;25/03/2024;8406705YJ2380N0001GL;;N;147,00;6;N;3;6;0;0;3
CV-VUT0045838-V;Vivienda 45838-V;VALENCIA/VALÈNCIA;ALZIRA;46600;PL POLIGONO 20, 108, Es:T Pl:OD Pt:OS;;26/04/2018;46017A020001080001OA;;N;252,00;8;N;4;8;0;0;4
CV-VUT0045665-V;Vivienda 45665-V;VALENCIA/VALÈNCIA;ALZIRA;46600;CL COLMENAR, 17, Pl:BO Pt:01;;02/02/2018;1869521YJ2316N0001GQ;;N;78,00;3;N;1;2;1;1;2
CV-VUT0049556-V;Vivienda 49556-V;VALENCIA/VALÈNCIA;ALZIRA;46600;CL SANT VICENT DE PAUL, 14, Es:T Pl:OD Pt:OS;;02/10/2020;1464116YJ2316S0001AO;;N;68,00;4;N;2;4;0;0;2
CV-VUT0050684-V;Vivienda 50684-V;VALENCIA/VALÈNCIA;ALZIRA;46600;UR EL RESPIRALL, 5, Es:T Pl:OD Pt:OS;;21/02/2022;3966302YJ2336N0001IO;;N;305,00;8;N;4;8;0;0;4
CV-VUT0029789-V;Vivienda 29789-V;VALENCIA/VALÈNCIA;ALZIRA;46600;PZ CORBEIL-ESSONES, 2, Es:1 Pl:02 Pt:A;;11/05/2004;1363901YJ2316S0040AD;;N;110,00;4;N;1;2;2;2;3
CV-VUT0047853-V;Vivienda 47853-V;VALENCIA/VALÈNCIA;ALZIRA;46792;CL ASTURIES, 8, Es:T Pl:OD Pt:OS;;07/06/2019;8406301YJ2380N0001OL;;N;306,00;6;N;3;6;0;0;3
CV-VUT0050691-V;Vivienda 50691-V;VALENCIA/VALÈNCIA;ALZIRA;46600;CL PASTORA, 8, Pl:01 Pt:01;;25/02/2022;1769026YJ2316N0002EW;;N;129,00;6;N;3;6;0;0;3
CV-VUT0050692-V;Vivienda 50692-V;VALENCIA/VALÈNCIA;ALZIRA;46600;CL PASTORA, 8, Pl:02 Pt:02;;25/02/2022;1769026YJ2316N0003RE;;N;129,00;6;N;3;6;0;0;3
CV-VUT0029315-V;Vivienda 29315-V;VALENCIA/VALÈNCIA;ALZIRA;46600;CL POLIGONO 51, 97, Es:TO Pl:D Pt:OS;;18/02/2003;46017A051000970001OZ;;N;590,00;10;N;5;10;2;2;7
