Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0056209-V;Vivienda 56209-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;CL ALMENDRO DEL, 319, Es:T Pl:OD Pt:OS;;10/08/2024;2489939YJ1728N0001TQ;;N;189,00;6;N;3;6;0;0;3
CV-VUT0050945-V;Vivienda 50945-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;CL JOSE ITURBI, 28, Es:T Pl:OD Pt:OS;;05/05/2022;1515318YJ1811S0001BY;;N;292,00;8;N;4;8;0;0;4
CV-VUT0038218-V;Vivienda 38218-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;CL JOAQUIN SOROLLA, 16, Es:T Pl:OD Pt:OS;;19/08/2016;1014204YJ1811S0001ZY;;N;292,00;9;N;4;8;1;1;5
CV-VUT0056307-V;Vivienda 56307-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;CL EL PINAR, 15, Es:T Pl:OD Pt:OS;;05/09/2024;2285508YJ1728N0001JQ;;N;336,00;6;N;3;6;0;0;3
CV-VUT0042147-V;Vivienda 42147-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;CL ESLA, 37, Es:T Pl:OD Pt:OS;;29/11/2017;0700108YJ1700S0001ZE;;N;225,00;8;N;4;8;0;0;4
CV-VUT0046594-V;Vivienda 46594-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;CL RAMON NAVARRETE, 3, Es:T Pl:OD Pt:OS;;23/05/2018;2710106YJ1821S0001KP;;N;287,00;12;N;6;12;0;0;6
CV-VUT0048187-V;Vivienda 48187-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;AV SANTIAGO APOSTOL-POUS, 5, Es:1 Pl:00 Pt:B2;;22/07/2019;3679814YJ1737N0004WF;;N;216,00;6;N;3;6;0;0;3
CV-VUT0053154-V;Vivienda 53154-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;CL MELISA, 32;;17/07/2023;1991101YJ1719S0001XX;;N;907,00;6;N;3;6;0;0;3
CV-VUT0051270-V;Vivienda 51270-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;UR CLOT NAVARRETE, 96, Es:T Pl:OD Pt:OS;;03/06/2022;2212502YJ1821S0001WP;;N;71,00;9;N;4;8;1;1;5
CV-VUT0050575-V;Vivienda 50575-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;CL ARCE DEL, 4;;03/12/2021;2089302YJ1728N0001FQ;;N;379,00;6;N;3;6;0;0;3
CV-VUT0058140-V;;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;CL JOAQUIN SOROLLA, 10, Es:T Pl:OD Pt:OS;;10/04/2025;1015518YJ1811N0001XZ;;N;152,00;6;N;3;6;0;0;3
CV-VUT0054679-V;Vivienda 54679-V;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;CL TORMES, 19, Es:T Pl:OD Pt:OS;;15/03/2024;1498447YJ1719N0001QF;;N;150,00;6;N;3;6;0;0;3
CV-VUT0057518-V;;VALENCIA/VALÈNCIA;RIBA-ROJA DE TÚRIA;46190;UR PARQUE MONTE ALCEDO, 238, Es:T Pl:OD Pt:OS;;17/02/2025;0617202YJ1801N0001EJ;;N;414,00;10;N;5;10;0;0;5
