Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0056895-V;Vivienda 56895-V;VALENCIA/VALÈNCIA;PALMA DE GANDÍA;46724;CL IGLESIA DE LA, 5, Bloque:A Es:T Pl:OD Pt:OS;;19/12/2024;0822521YJ4102S0001AB;;N;437,00;10;N;5;10;0;0;5
CV-VUT0057164-V;Vivienda 57164-V;VALENCIA/VALÈNCIA;PALMA DE GANDÍA;46724;CL JUAN VITORIA, 6, Bloque:A Es:T Pl:OD Pt:OS;;27/01/2025;0822902YJ4102S0001WB;;N;82,00;6;N;3;6;0;0;3
CV-VUT0056730-V;Vivienda 56730-V;VALENCIA/VALÈNCIA;PALMA DE GANDÍA;46724;AV CONSTITUCION DE LA, 4, Bloque:A Es:1 Pl:01 Pt:02;;21/11/2024;0925402YJ4102N0002DD;;N;93,00;5;N;2;4;1;1;3
CV-VUT0055119-V;Vivienda 55119-V;VALENCIA/VALÈNCIA;PALMA DE GANDÍA;46724;CL MAJOR, 6, Bloque:A Es:T Pl:OD Pt:OS;;08/05/2024;0924423YJ4102S0001RB;;N;200,00;8;N;4;8;0;0;4
CV-VUT0040790-V;Vivienda 40790-V;VALENCIA/VALÈNCIA;PALMA DE GANDÍA;46728;UR MARCHUQUERA-BASES, 128, Es:T Pl:OD Pt:OS;;08/05/2017;9153305YJ3195S0001SE;;N;352,00;10;N;5;10;0;0;5
CV-VUT0050056-V;Vivienda 50056-V;VALENCIA/VALÈNCIA;PALMA DE GANDÍA;46724;CL MIGUEL DE CERVANTES, 2, Bloque:A Es:T Pl:OD Pt:OS;;07/06/2021;0924205YJ4102S0001EB;;N;190,00;13;N;6;12;1;1;7
CV-VUT0048451-V;Vivienda 48451-V;VALENCIA/VALÈNCIA;PALMA DE GANDÍA;46724;CL STMO CRISTO DE LA SALUD, 11, Bloque:A Es:T Pl:OD Pt:OS;;12/09/2019;0923915YJ4102S0001BB;;N;245,00;6;N;3;6;0;0;3
CV-VUT0047996-V;Vivienda 47996-V;VALENCIA/VALÈNCIA;PALMA DE GANDÍA;46728;UR MONTERREY, 20, Bloque:A Es:T Pl:OD Pt:OS;;26/06/2019;0947213YJ4104N0001KM;;N;324,00;10;N;5;10;0;0;5
