Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0057336-V;;VALENCIA/VALÈNCIA;XERACO;46770;CL MANUEL SANCHIS GUARNER, 13, Es:1 Pl:00 Pt:02;;05/03/2025;3157805YJ4235N0003XD;;N;70,00;3;N;1;2;1;1;2
CV-VUT0057858-V;;VALENCIA/VALÈNCIA;XERACO;46770;CL MARINES, LES, 4, Es:1 Pl:06 Pt:21;;26/03/2025;3253801YJ4235S0021HP;;N;99,00;4;N;2;4;0;0;2
CV-VUT0040468-V;Vivienda 40468-V;VALENCIA/VALÈNCIA;XERACO;46770;CL MANUEL SANCHIS GUARNER, 11, Es:2 Pl:02 Pt:06;;09/05/2017;3157806YJ4235N0013GB;;N;80,00;5;N;2;4;1;1;3
CV-VUT0050633-V;Vivienda 50633-V;VALENCIA/VALÈNCIA;XERACO;46770;AV CUARTEL, 11, Bloque:B Es:3 Pl:01 Pt:C0;;22/01/2022;3250201YJ4235A0035AA;;N;76,00;5;N;2;4;1;1;3
CV-VUT0058369-V;;VALENCIA/VALÈNCIA;XERACO;46770;AV MOTA DE LA, 39, Es:3 Pl:02 Pt:04;;24/05/2025;2369903YJ4226N0039TU;;N;122,00;6;N;3;6;0;0;3
CV-VUT0056420-V;Vivienda 56420-V;VALENCIA/VALÈNCIA;XERACO;46770;AV MOTA DE LA, 39, Es:1 Pl:07 Pt:19;;30/09/2024;2369903YJ4226N0019FH;;N;151,00;6;N;3;6;0;0;3
CV-VUT0056038-V;Vivienda 56038-V;VALENCIA/VALÈNCIA;XERACO;46770;AV BORRONS DELS, 33, Es:1 Pl:01 Pt:01;;25/07/2024;3156711YJ4235N0001GA;;N;130,00;8;N;4;8;0;0;4
CV-VUT0055546-V;Vivienda 55546-V;VALENCIA/VALÈNCIA;XERACO;46770;AV BORRONS DELS, 49, Es:1 Pl:07 Pt:0A;;04/06/2024;3251402YJ4235S0025EF;;N;96,00;5;N;2;4;1;1;3
CV-VUT0051329-V;Vivienda 51329-V;VALENCIA/VALÈNCIA;XERACO;46770;AV BORRONS DELS, 47, Es:1 Pl:01 Pt:0A;;23/06/2022;3251403YJ4235S0015TU;;N;80,00;6;N;3;6;0;0;3
CV-VUT0053601-V;Vivienda 53601-V;VALENCIA/VALÈNCIA;XERACO;46770;AV MOTA DE LA, 23, Es:1 Pl:04 Pt:09;;09/10/2023;2663115YJ4226S0009WJ;;N;90,00;6;N;3;6;0;0;3
CV-VUT0053079-V;Vivienda 53079-V;VALENCIA/VALÈNCIA;XERACO;46770;AV BORRONS DELS, 46, Es:5 Pl:02 Pt:17;;07/07/2023;3250202YJ4235S0047YU;;N;85,00;4;N;2;4;0;0;2
CV-VUT0053275-V;Vivienda 53275-V;VALENCIA/VALÈNCIA;XERACO;46770;AV CUARTEL, 12A, Bloque:4 Es:2 Pl:00 Pt:02;;01/08/2023;2956108YJ4225N0057QW;;N;75,00;4;N;2;4;0;0;2
CV-VUT0050385-V;Vivienda 50385-V;VALENCIA/VALÈNCIA;XERACO;46770;AV BORRONS DELS, 47, Es:1 Pl:01 Pt:0B;;17/08/2021;3251403YJ4235S0016YI;;N;81,00;6;N;3;6;0;0;3
CV-VUT0050400-V;Vivienda 50400-V;VALENCIA/VALÈNCIA;XERACO;46770;AV BORRONS DELS, 39, Es:1 Pl:03 Pt:09;;27/08/2021;3154202YJ4235S0009IR;;N;95,00;6;N;3;6;0;0;3
CV-VUT0050401-V;Vivienda 50401-V;VALENCIA/VALÈNCIA;XERACO;46770;CL RIBERA ALTA, 2, Bloque:C Es:A Pl:05 Pt:14;;27/08/2021;2466303YJ4226N0069WT;;N;62,00;4;N;2;4;0;0;2
