Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0057144-V;;VALENCIA/VALÈNCIA;ANNA;46820;PZ CONSTITUCION DE LA, 5, Es:1 Pl:00 Pt:01;;23/01/2025;4020612YJ0242A0001ZY;;N;133,00;10;N;5;10;0;0;5
CV-VUT0057145-V;;VALENCIA/VALÈNCIA;ANNA;46820;CL SAN ISIDRO, 3, Es:1 Pl:00 Pt:01;;23/01/2025;3619405YJ0232B0001KA;;N;48,00;4;N;2;4;0;0;2
CV-VUT0056045-V;Vivienda 56045-V;VALENCIA/VALÈNCIA;ANNA;46820;CL ABAJO, 10, Es:1 Pl:00 Pt:01;;26/07/2024;4121116YJ0242A0001AY;;N;212,00;6;N;3;6;0;0;3
CV-VUT0031104-V;Vivienda 31104-V;VALENCIA/VALÈNCIA;ANNA;46820;PD ALBUFERA, 12, Es:T Pl:OD Pt:OS;;19/12/2006;2805101YJ0220N0001QS;;N;390,00;2;N;1;2;0;0;1
CV-VUT0056080-V;Vivienda 56080-V;VALENCIA/VALÈNCIA;ANNA;46820;CL RAMON Y CAJAL, 14, Es:T Pl:OD Pt:OS;;30/07/2024;3819406YJ0231H0001AW;;N;305,00;10;N;5;10;0;0;5
CV-VUT0057168-V;;VALENCIA/VALÈNCIA;ANNA;46820;CL MAYOR, 25, Es:1 Pl:01 Pt:01;;27/01/2025;3717210YJ0231F0003SO;;N;70,00;6;N;3;6;0;0;3
CV-VUT0032876-V;Vivienda 32876-V;VALENCIA/VALÈNCIA;ANNA;46820;CL MOGENTE, 33, Es:1 Pl:00 Pt:04;;12/04/2012;3519914YJ0231H0009HP;;N;157,00;6;N;3;6;0;0;3
CV-VUT0042338-V;Vivienda 42338-V;VALENCIA/VALÈNCIA;ANNA;46820;PZ ALAMEDA, 9, Es:T Pl:OD Pt:OS;;25/08/2017;4220807YJ0242A0001KY;;N;447,00;6;N;3;6;0;0;3
CV-VUT0049467-V;Vivienda 49467-V;VALENCIA/VALÈNCIA;ANNA;46820;CL MIGUEL HERNANDEZ, 14, Es:1 Pl:00 Pt:01;;25/08/2020;3717507YJ0231H0001XW;;S;356,00;2;N;1;2;0;0;1
CV-VUT0052214-V;;VALENCIA/VALÈNCIA;ANNA;46820;CL EDUARDO LOPEZ PALOP, 1, Es:1 Pl:01 Pt:01;;22/03/2023;3919931YJ0231H0003IR;;N;103,00;6;N;3;6;0;0;3
CV-VUT0051868-V;Vivienda 51868-V;VALENCIA/VALÈNCIA;ANNA;46820;CL VIOLINISTA VALLS, 4, Es:T Pl:OD Pt:OS;;10/01/2023;4219903YJ0242A0001LY;;N;132,00;8;N;4;8;0;0;4
CV-VUT0051735-V;Vivienda 51735-V;VALENCIA/VALÈNCIA;ANNA;46820;PD ALBUFERA, 16, Es:T Pl:OD Pt:OS;;11/11/2022;46039A022070000001RM;;N;154,00;6;N;3;6;0;0;3
CV-VUT0057693-V;;VALENCIA/VALÈNCIA;ANNA;46820;CL RAMON Y CAJAL, 2, Es:B Pl:02 Pt:06;;17/03/2025;3919402YJ0231H0013XA;;N;107,00;6;N;2;4;2;2;4
CV-VUT0050649-V;Vivienda 50649-V;VALENCIA/VALÈNCIA;ANNA;46820;PZ CONSTITUCION DE LA, 2, Es:T Pl:OD Pt:OS;;28/01/2022;4120320YJ0242A0001MY;;N;329,00;10;N;5;10;0;0;5
