Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0054062-V;Vivienda 54062-V;VALENCIA/VALÈNCIA;PATERNA;46980;CL MESTRE CANOS, 14, Bloque:A Es:1 Pl:01 Pt:01;;05/12/2023;0151507YJ2705S0002RO;;N;99,00;5;N;2;4;1;1;3
CV-VUT0056269-V;Vivienda 56269-V;VALENCIA/VALÈNCIA;PATERNA;46182;CL 220, 78, Es:T Pl:OD Pt:OS;;31/08/2024;6303208YJ1860S0001SO;;N;83,00;4;N;2;4;0;0;2
CV-VUT0056585-V;Vivienda 56585-V;VALENCIA/VALÈNCIA;PATERNA;46182;CL 234, 13, Es:T Pl:OD Pt:OS;;29/10/2024;5802406YJ1850S0001DT;;N;220,00;8;N;4;8;0;0;4
CV-VUT0050153-V;Vivienda 50153-V;VALENCIA/VALÈNCIA;PATERNA;46980;CL SANTA AURORA, 3, Bloque:C Es:1 Pl:01 Pt:03;;25/06/2021;1776547YJ2717N0014EW;;N;71,00;4;N;2;4;0;0;2
CV-VUT0054978-V;Vivienda 54978-V;VALENCIA/VALÈNCIA;PATERNA;46182;CL 7, 45, Es:1 Pl:01 Pt:02;;22/04/2024;6084501YJ1768S0004BT;;N;30,00;2;N;1;2;0;0;1
CV-VUT0055932-V;Vivienda 55932-V;VALENCIA/VALÈNCIA;PATERNA;46182;CL 337, 4, Es:T Pl:OD Pt:OS;;16/07/2024;5380804YJ1758S0001XZ;;N;159,00;6;N;3;6;0;0;3
CV-VUT0052465-V;Vivienda 52465-V;VALENCIA/VALÈNCIA;PATERNA;46182;CL 125, 9, Es:T Pl:OD Pt:OS;;04/05/2023;6089808YJ1768N0001WJ;;N;139,00;8;N;4;8;0;0;4
CV-VUT0056802-V;Vivienda 56802-V;VALENCIA/VALÈNCIA;PATERNA;46182;CL 222, 8, Es:T Pl:OD Pt:OS;;02/12/2024;6195917YJ1769N0001ZA;;N;379,00;12;N;6;12;0;0;6
CV-VUT0054973-V;Vivienda 54973-V;VALENCIA/VALÈNCIA;PATERNA;46182;CL 523, 19, Es:T Pl:OD Pt:OS;construccionesroblescopete.com;19/04/2024;6784407YJ1768S0001AW;;N;93,00;4;N;2;4;0;0;2
CV-VUT0055798-V;Vivienda 55798-V;VALENCIA/VALÈNCIA;PATERNA;46980;AV CONSTITUCIO, 51, Bloque:A Es:1 Pl:00 Pt:02;;04/07/2024;0552903YJ2705S0002EO;;N;63,00;5;N;2;4;1;1;3
CV-VUT0053451-V;Vivienda 53451-V;VALENCIA/VALÈNCIA;PATERNA;46980;CL ANTONIO MACHADO, 47, Bloque:A Es:1 Pl:02 Pt:04;;07/09/2023;9660105YJ1796S0005AU;;N;92,00;4;N;2;4;0;0;2
