Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0056234-V;Vivienda 56234-V;VALENCIA/VALÈNCIA;FONTANARS DELS ALFORINS;46635;PZ ALQUERIA DELS ALBERS, 14, Es:1 Pl:01 Pt:03;;13/08/2024;2554214XH9925C0003GI;;N;139,00;7;N;3;6;1;1;4
CV-VUT0056235-V;Vivienda 56235-V;VALENCIA/VALÈNCIA;FONTANARS DELS ALFORINS;46635;CL ESPANYA, 27, Es:T Pl:OD Pt:OS;;13/08/2024;2452717XH9925A0001SA;;N;338,00;8;N;4;8;0;0;4
CV-VUT0053319-V;Vivienda 53319-V;VALENCIA/VALÈNCIA;FONTANARS DELS ALFORINS;46635;CS POBLET EL 1 Polígono 2 Parcela 3 EL POBLET. 46635 FONTANARS DELS ALFORINS (VALENCIA);;05/08/2023;46126A002000030000ZA;;N;2.351,00;8;N;4;8;0;0;4
CV-VUT0056118-V;Vivienda 56118-V;VALENCIA/VALÈNCIA;FONTANARS DELS ALFORINS;46635;CL PAIS VALENCIA, 2B, Pt:06;;02/08/2024;2554701XH9925D0006JB;;N;167,00;6;N;3;6;0;0;3
CV-VUT0057643-V;;VALENCIA/VALÈNCIA;FONTANARS DELS ALFORINS;46635;CL PAIS VALENCIA, 30, Es:T Pl:OD Pt:OS;;11/03/2025;2652332XH9925D0001GG;;N;144,00;6;N;3;6;0;0;3
CV-VUT0054610-V;Vivienda 54610-V;VALENCIA/VALÈNCIA;FONTANARS DELS ALFORINS;46635;PZ ALQUERIA DELS ALBERS, 13, Es:1 Pl:02 Pt:03;;07/03/2024;2554214XH9925C0009ZF;;N;129,00;8;N;4;8;0;0;4
