Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0055825-V;Vivienda 55825-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;CL PROGRES, 3, Pl:02 Pt:25;;09/07/2024;1858109YJ3815N0031KL;;N;139,00;6;N;3;6;0;0;3
CV-VUT0055890-V;Vivienda 55890-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;CL ORDRE DE LA MERCE, 34, Es:1 Pl:01 Pt:01;;11/07/2024;2057510YJ3825G0002XO;;N;121,00;5;N;2;4;1;1;3
CV-VUT0053273-V;Vivienda 53273-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR MAR PLATA ARIES, 1, Bloque:A Es:1 Pl:14 Pt:55;;01/08/2023;42501A3YJ3845S0064YJ;;N;81,00;4;N;2;4;0;0;2
CV-VUT0057002-V;Vivienda 57002-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;AV TRAMUNTANA, 12, Es:4 Pl:00 Pt:C;;10/01/2025;4253120YJ3845S0319DL;;N;69,00;4;N;2;4;0;0;2
CV-VUT0056805-V;Vivienda 56805-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR PLAY-PUIG LES MARINES 2, 1, Bloque:F Es:1 Pl:00 Pt:02;;02/12/2024;3943907YJ3834S0250OF;;N;168,00;7;N;3;6;1;1;4
CV-VUT0051921-V;Vivienda 51921-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR MAR PLATA-ALFA DOS, 1, Bloque:C Es:1 Pl:03 Pt:13;;24/01/2023;4250103YJ3845S0080XR;;N;81,00;4;N;2;4;0;0;2
CV-VUT0052802-V;Vivienda 52802-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR PUIGVAL-CHALETS, 15, Es:T Pl:OD Pt:OS;;22/05/2023;3839904YJ3834B0001FL;;N;344,00;12;N;6;12;0;0;6
CV-VUT0055889-V;Vivienda 55889-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR MAR PLATA ORION, 1, Bloque:D Es:1 Pl:12 Pt:45;;11/07/2024;42501A3YJ3845S0184MA;;N;94,00;6;N;3;6;0;0;3
CV-VUT0055498-V;Vivienda 55498-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR PLAY-PUIG COMERCIALES, 9, Bloque:K Es:1 Pl:00 Pt:01;;27/05/2024;3943916YJ3834S0017DP;;N;60,00;4;N;2;4;0;0;2
CV-VUT0051395-V;Vivienda 51395-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;AV TRAMUNTANA, 1, Bloque:A Es:B Pl:05 Pt:10;;27/07/2022;4254204YJ3845S0171YQ;;N;92,00;4;N;2;4;0;0;2
CV-VUT0057132-V;Vivienda 57132-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;AV TRAMUNTANA, 12, Es:1 Pl:06 Pt:A;;22/01/2025;4253120YJ3845S0259GZ;;N;79,00;4;N;2;4;0;0;2
CV-VUT0056367-V;Vivienda 56367-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR PLANS MAR EL CANO, 1, Bloque:A Es:D Pl:03 Pt:05;;23/09/2024;4254206YJ3845S0227ZZ;;N;110,00;5;N;2;4;1;1;3
CV-VUT0056368-V;Vivienda 56368-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR PLANS MAR EL CANO, 1, Bloque:A Es:D Pl:03 Pt:06;;23/09/2024;4254206YJ3845S0228XX;;N;113,00;6;N;3;6;0;0;3
CV-VUT0035368-V;Vivienda 35368-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR PLAY-PUIG SERPIS, 1, Bloque:A Es:1 Pl:04 Pt:19;;28/08/2015;3943904YJ3834S0019ES;;N;119,00;6;N;3;6;0;0;3
CV-VUT0037005-V;Vivienda 37005-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR CIBELES, 1, Bloque:A Es:1 Pl:11 Pt:81;;07/06/2016;3635906YJ3833N0112HY;;N;72,00;6;N;3;6;0;0;3
CV-VUT0038087-V;Vivienda 38087-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;CL GOMERA DE, 70, Pt:20;;06/10/2016;3952901YJ3835S0020RR;;N;174,00;6;N;3;6;0;0;3
CV-VUT0054797-V;Vivienda 54797-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR PUIGVAL-CHALETS, 1, Es:1 Pl:00 Pt:01;;28/03/2024;3839912YJ3833N0053RO;;N;286,00;10;N;5;10;0;0;5
CV-VUT0053577-V;Vivienda 53577-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;CM PLAYA A, 87, Es:1 Pl:00 Pt:01;;04/10/2023;3635901YJ3815E0001YO;;N;123,00;6;N;3;6;0;0;3
CV-VUT0055863-V;Vivienda 55863-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;CM PLAYA A, 4, Bloque:F Es:A Pl:00 Pt:03;;10/07/2024;4250103YJ3845S0186ID;;N;171,00;6;N;3;6;0;0;3
CV-VUT0054724-V;Vivienda 54724-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR PLAY-PUIG ED AUCA, 1, Bloque:A Es:5 Pl:06 Pt:11;;22/03/2024;3943902YJ3834D0065HF;;N;120,00;6;N;3;6;0;0;3
CV-VUT0055938-V;Vivienda 55938-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR PLAY-PUIG MIJARES, 1, Bloque:A Es:1 Pl:15 Pt:90;;18/07/2024;3943909YJ3834S0091RF;;N;55,00;4;N;2;4;0;0;2
CV-VUT0056114-V;Vivienda 56114-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR CIBELES, 1, Bloque:A Es:1 Pl:05 Pt:37;;02/08/2024;3635906YJ3833N0068IZ;;N;69,00;2;N;1;2;0;0;1
CV-VUT0055857-V;Vivienda 55857-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;UR PLAY-PUIG MIJARES, 1, Bloque:A Es:1 Pl:18 Pt:A3;;10/07/2024;3943909YJ3834S0104HE;;N;57,00;4;N;2;4;0;0;2
CV-VUT0056159-V;Vivienda 56159-V;VALENCIA/VALÈNCIA;PUIG DE SANTA MARIA, EL;46540;AV TRAMUNTANA, 8D, Es:2 Pl:03 Pt:06;;05/08/2024;4256602YJ3845N0012HK;;N;88,00;4;N;2;4;0;0;2
