Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0031139-V;Vivienda 31139-V;VALENCIA/VALÈNCIA;TORRES TORRES;46595;CL TOSSAL, 7, Es:T Pl:OD Pt:OS;;12/03/2007;6728401YK2062H0001BF;;S;370,00;4;N;1;2;2;2;3
CV-VUT0031140-V;Vivienda 31140-V;VALENCIA/VALÈNCIA;TORRES TORRES;46595;CL TOSSAL, 7, Es:T Pl:OD Pt:OS;;12/03/2007;6728401YK2062H0001BF;;S;370,00;4;N;1;2;2;2;3
CV-VUT0032369-V;Vivienda 32369-V;VALENCIA/VALÈNCIA;TORRES TORRES;46595;CL MAJOR, 43, Pl:00 Pt:01;;14/06/2010;6528401YK2062H0001DF;;N;124,00;6;N;3;6;0;0;3
CV-VUT0043432-V;Vivienda 43432-V;VALENCIA/VALÈNCIA;TORRES TORRES;46595;UR TOCHAR EL, 26, Es:T Pl:OD Pt:OS;;06/04/2018;3212617YK2031S0001SQ;;N;197,00;5;N;2;4;1;1;3
CV-VUT0053793-V;Vivienda 53793-V;VALENCIA/VALÈNCIA;TORRES TORRES;46595;UR TOCHAR EL, 20B, Es:T Pl:OD Pt:OS;;03/11/2023;3712901YK2031S0001TQ;;N;288,00;8;N;4;8;0;0;4
CV-VUT0053991-V;Vivienda 53991-V;VALENCIA/VALÈNCIA;TORRES TORRES;46595;CL MARE DE DEU, 16, Es:1 Pl:00 Pt:01;;21/11/2023;6428608YK2062G0001MT;;N;75,00;4;N;2;4;0;0;2
CV-VUT0058433-V;Apartamento Luminoso y Acogedor (Airbnb);VALENCIA/VALÈNCIA;TORRES TORRES;46595;CL MATIAS LORENTE, 22, Es:1 Pl:01 Pt:02;airbnb;30/05/2025;6328801YK2062G0013IF;;S;112,00;5;N;2;4;1;1;3
CV-VUT0052136-V;Vivienda 52136-V;VALENCIA/VALÈNCIA;TORRES TORRES;46595;UR TOCHAR EL, 99, Es:T Pl:OD Pt:OS;;10/03/2023;3711411YK2031S0001BQ;;N;322,00;10;N;5;10;0;0;5
CV-VUT0058792-V;;VALENCIA/VALÈNCIA;TORRES TORRES;46595;UR TOCHAR EL, 56, Es:T Pl:OD Pt:OS;;17/07/2025;2811517YK2021S0001AB;;N;229,00;8;N;4;8;0;0;4
