Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0057731-V;ALTOS FUENTE DEL PINO;VALENCIA/VALÈNCIA;NAVARRÉS;46823;DS DISEMINADOS, 39, Es:T Pl:OD Pt:OS;;06/03/2025;000900500XJ92E0001XY;;N;153,00;6;N;3;6;0;0;3
CV-VUT0050436-V;Vivienda 50436-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;CL RECODO, 2, Es:1 Pl:00 Pt:01;;16/09/2021;9706319XJ9390F0001KX;;N;312,00;12;N;6;12;0;0;6
CV-VUT0036587-V;Vivienda 36587-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;UR PLAYA MONTE 1, 112, Es:T Pl:OD Pt:OS;;23/05/2016;9385703XJ9298S0001JE;;N;204,00;11;N;5;10;1;1;6
CV-VUT0032353-V;Vivienda 32353-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;UR PLAYA MONTE 1, 550A, Es:T Pl:OD Pt:OS;;03/05/2010;9083212XJ9298S0001LE;;N;337,00;10;N;5;10;0;0;5
CV-VUT0032370-V;Vivienda 32370-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;UR PLAYA MONTE 1, 550B, Es:T Pl:OD Pt:OS;;17/06/2010;9083213XJ9298S0001TE;;N;220,00;10;N;5;10;0;0;5
CV-VUT0039391-V;Vivienda 39391-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;CL ALEGRIA DE LA HUERTA, 70, Es:T Pl:OD Pt:OS;;09/02/2017;9308726XJ9390G0001BI;;N;678,00;6;N;3;6;0;0;3
CV-VUT0039392-V;Vivienda 39392-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;CL BUENAVISTA, 7, Es:T Pl:OD Pt:OS;;09/02/2017;9804202XJ9390D0001IR;;N;277,00;2;N;1;2;0;0;1
CV-VUT0039592-V;Vivienda 39592-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;CL REMEDIO, 19, Es:1 Pl:00 Pt:01;;27/02/2017;9508917XJ9390H0001RJ;;N;267,00;8;N;4;8;0;0;4
CV-VUT0055968-V;Vivienda 55968-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;CL RAMON Y CAJAL, 39, Es:1 Pl:00 Pt:01;;19/07/2024;9607504XJ9390H0001MJ;;N;156,00;7;N;3;6;1;1;4
CV-VUT0056256-V;Vivienda 56256-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;CL MAESTRO SERRANO, 23, Pl:04 Pt:23;;21/08/2024;9503412XJ9390S0024MR;;N;130,00;4;N;2;4;0;0;2
CV-VUT0055852-V;Vivienda 55852-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;CL RAMON Y CAJAL, 17, Es:1 Pl:00 Pt:01;;10/07/2024;9607211XJ9390F0001QX;;N;177,00;4;N;1;2;2;2;3
CV-VUT0054625-V;Vivienda 54625-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;CL REMEDIO, 39, Es:1 Pl:00 Pt:01;;11/03/2024;9608206XJ9390H0001AJ;;N;197,00;5;N;1;2;3;3;4
CV-VUT0050488-V;Vivienda 50488-V;VALENCIA/VALÈNCIA;NAVARRÉS;46823;UR PLAYA MONTE 1, 33, Es:1 Pl:01 Pt:01;;18/10/2021;8983703XJ9288S0002HM;;N;109,00;16;N;8;16;0;0;8
