Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0002892-V;Vivienda 2892-V;VALENCIA/VALÈNCIA;COFRENTES;46625;PB HERVIDEROS, 2, Es:1 Pl:00 Pt:01;;13/10/1993;5148501XJ6454N0001FM;;N;1.204,00;2;S;0;0;0;0;0
CV-VUT0002845-V;Vivienda 2845-V;VALENCIA/VALÈNCIA;COFRENTES;46625;PB HERVIDEROS, 10, Es:1 Pl:00 Pt:01;;13/10/1993;5047301XJ6454N0001OM;;N;1.445,00;6;N;2;4;2;2;4
CV-VUT0002849-V;Vivienda 2849-V;VALENCIA/VALÈNCIA;COFRENTES;46625;PB HERVIDEROS, 1, Es:T Pl:OD Pt:OS;;13/10/1993;5048501XJ6454N0001XM;;N;2.388,00;6;N;2;4;2;2;4
CV-VUT0057510-V;;VALENCIA/VALÈNCIA;COFRENTES;46625;CL ESTRELLA, 15, Pl:00 Pt:01;;27/02/2025;7543322XJ6474D0002LA;;N;114,00;4;N;2;4;0;0;2
CV-VUT0058622-V;;VALENCIA/VALÈNCIA;COFRENTES;46625;CL EMILIO A OLMOS, 10, Es:1 Pl:03 Pt:03;;03/04/2025;7442601XJ6474C0006KY;;N;79,00;6;N;3;6;0;0;3
