Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0055743-V;Vivienda 55743-V;VALENCIA/VALÈNCIA;QUESA;46824;CL SAN ANTONIO, 31, Es:1 Pl:00 Pt:01;;28/06/2024;5326911XJ9352E0001BI;;N;207,00;4;N;2;4;0;0;2
CV-VUT0055613-V;Vivienda 55613-V;VALENCIA/VALÈNCIA;QUESA;46824;AV BLASCO IBAÑEZ, 12, Es:1 Pl:00 Pt:01;;12/06/2024;5723603XJ9352D0001IX;;N;311,00;10;N;5;10;0;0;5
CV-VUT0055953-V;Vivienda 55953-V;VALENCIA/VALÈNCIA;QUESA;46824;CL PERIS Y VALERO, 10, Es:T Pl:OD Pt:OS;;18/07/2024;5326910XJ9352E0001AI;;N;353,00;8;N;4;8;0;0;4
CV-VUT0056164-V;Vivienda 56164-V;VALENCIA/VALÈNCIA;QUESA;46824;CL PERIS Y VALERO, 16, Es:1 Pl:00 Pt:01;;06/08/2024;5327604XJ9352E0001MI;;N;230,00;12;N;6;12;0;0;6
