Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0057861-V;PROMOCIONES TORMO SILVESTRES SL;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PZ JOAN DE JOANES 9 Es:1 Pl:01 Pt:02-ESTUDIO 2;;26/03/2025;;46014000722307;N;34,00;2;S;0;0;0;0;0
CV-VUT0052472-V;Vivienda 52472-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL BATLLE, 14, Es:1 Pl:00 Pt:01;;04/05/2023;7838206YH0973H0003UD;;N;136,00;8;N;4;8;0;0;4
CV-VUT0051795-V;Vivienda 51795-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL SOR PIEDAD DE LA CRUZ, 1, Es:1 Pl:01 Pt:0A;;29/11/2022;7736314YH0973F0014HE;;N;140,00;8;N;4;8;0;0;4
CV-VUT0054553-V;Vivienda 54553-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL OBISPO MIRO, 23, Es:1 Pl:02 Pt:01;;04/03/2024;7737208YH0973H0002RS;;N;165,00;4;N;2;4;0;0;2
CV-VUT0056060-V;Vivienda 56060-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL BAIXADA TINT, 22;;29/07/2024;7838802YH0973H0002JS;;N;56,00;2;N;1;2;0;0;1
CV-VUT0055940-V;Vivienda 55940-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL MOSEN HILARIO, 12, Es:T Pl:OD Pt:OS;;18/07/2024;7840746YH0973H0001LA;;N;96,00;6;N;3;6;0;0;3
CV-VUT0048582-V;Vivienda 48582-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;AV SAN JUAN DE RIBERA, 12, Es:1 Pl:02 Pt:04;;11/10/2019;7235708YH0973E0004PP;;N;93,00;6;N;3;6;0;0;3
CV-VUT0047197-V;Vivienda 47197-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL SOR PIEDAD DE LA CRUZ, 13, Es:T Pl:OD Pt:OS;;11/06/2018;7736310YH0973F0001HH;;N;502,00;8;N;4;8;0;0;4
CV-VUT0048674-V;Vivienda 48674-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL TRIBUNAL DE LES AIGUES, 6, Es:T Pl:OD Pt:OS;;20/10/2017;7636116YH0973F0001QH;;N;226,00;6;N;3;6;0;0;3
CV-VUT0052077-V;Vivienda 52077-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PZ OLMETS DELS, 2, Pl:03 Pt:03;;02/03/2023;7636907YH0973F0004TL;;N;106,00;5;N;2;4;1;1;3
CV-VUT0050778-V;Vivienda 50778-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL CANTERERIA, 4, Es:T Pl:OD Pt:OS;;29/03/2022;7839901YH0973H0001HA;;N;72,00;4;N;2;4;0;0;2
CV-VUT0057181-V;L'ESSENCIA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PZ SAN BLAS, 5, Pl:01 Pt:03;en curso;28/01/2025;7738701YH0973H0004FF;;N;66,00;4;N;2;4;0;0;2
CV-VUT0057862-V;;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PZ JOAN DE JOANES 9 Es:1 Pl:01 Pt:02-ESTUDIO 3;;26/03/2025;;46014000722314;N;42,00;2;S;0;0;0;0;0
CV-VUT0057860-V;;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PZ JOAN DE JOANES 9 Es:1 Pl:01 Pt:02-ESTUDIO 1;;26/03/2025;;46014000722291;N;51,00;2;S;0;0;0;0;0
CV-VUT0057863-V;;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PZ JOAN DE JOANES 9 Es:1 Pl:01 Pt:02-APARTAMENTO 4;;26/03/2025;;46014000722321;N;49,00;2;N;1;2;0;0;1
CV-VUT0058105-V; Ca Tere Estancia Bocairent;VALENCIA/VALÈNCIA;BOCAIRENT;46880;AV SAN JUAN DE RIBERA, 16, Es:1 Pl:01 Pt:02;;07/04/2025;7235708YH0973E0022XX;;N;93,00;5;N;2;4;1;1;3
CV-VUT0049169-V;Vivienda 49169-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL JOSEPA ANTÒNIA NEBOT, 6, Es:T Pl:OD Pt:OS;;08/04/2020;7538714YH0973H0001WA;;N;111,00;4;N;2;4;0;0;2
CV-VUT0050869-V;Vivienda 50869-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CM SANTISIMO CRISTO, 3, Es:T Pl:OD Pt:OS;;19/04/2022;7638404YH0973H7001BB;;N;161,00;10;N;5;10;0;0;5
CV-VUT0051020-V;Vivienda 51020-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL PALLETER EL, 16, Es:1 Pl:02 Pt:02;;17/05/2022;7436120YH0973E0002RI;;N;152,00;8;N;4;8;0;0;4
CV-VUT0051188-V;Vivienda 51188-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL OBISPO MIRO, 26, Pl:02 Pt:07;;14/06/2022;7637612YH0973N0009ZR;;N;84,00;5;N;2;4;1;1;3
CV-VUT0050359-V;Vivienda 50359-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL ALGIBE, 33, Es:T Pl:OD Pt:OS;;16/08/2021;7838218YH0973H0001JA;;S;143,00;4;N;2;4;0;0;2
CV-VUT0057864-V;;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PZ JOAN DE JOANES 9 Es:1 Pl:01 Pt:02-APARTAMENTO 5;;26/03/2025;;46014000722338;N;65,00;2;N;1;2;0;0;1
CV-VUT0050900-V;Vivienda 50900-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CM SANTISIMO CRISTO, 3, Es:T Pl:OD Pt:OS;;26/04/2022;7638404YH0973H7005QQ;;N;88,00;4;N;2;4;0;0;2
CV-VUT0058424-V;;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL TALAIA LA, 12, Es:1 Pl:01 Pt:02;;22/05/2025;7637603YH0973H0002YS;;N;120,00;6;N;3;6;0;0;3
CV-VUT0054370-V;Vivienda 54370-V;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CL REPUNXO, 6A, Pl:01 Pt:03;;27/01/2024;7538412YH0973H0003BD;;N;151,00;6;N;3;6;0;0;3
