Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0056845-V;Vivienda 56845-V;VALENCIA/VALÈNCIA;ZARRA;46621;CL ARRIBA, 7, Es:T Pl:OD Pt:OS;;11/12/2024;6587805XJ6268F0001JD;;N;268,00;8;N;4;8;0;0;4
CV-VUT0052182-V;Vivienda 52182-V;VALENCIA/VALÈNCIA;ZARRA;46621;CL CANUTO, 9, Es:T Pl:OD Pt:OS;;20/03/2023;6589604XJ6268H0001PI;;N;90,00;4;N;2;4;0;0;2
CV-VUT0051974-V;Vivienda 51974-V;VALENCIA/VALÈNCIA;ZARRA;46621;CL ARRIBA, 15, Es:T Pl:OD Pt:OS;;07/02/2023;6587809XJ6268F0001UD;;N;268,00;8;N;4;8;0;0;4
