Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0052224-V;Vivienda 52224-V;VALENCIA/VALÈNCIA;CATARROJA;46470;AV RAMBLETA, 42, Es:1 Pl:02 Pt:08;;23/03/2023;3451406YJ2635S0011SX;;N;88,00;2;N;1;2;0;0;1
CV-VUT0056842-V;Vivienda 56842-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL UNIO MUSICAL, 2, Es:A Pl:03 Pt:10;;11/12/2024;3050904YJ2635S0010JZ;;N;149,00;6;N;3;6;0;0;3
CV-VUT0055658-V;Vivienda 55658-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL MIGUEL CHIRIVELLA LUCAS, 10, Es:1 Pl:02 Pt:09;;18/06/2024;3051613YJ2635S0009BM;;N;183,00;5;N;1;2;3;3;4
CV-VUT0039602-V;Vivienda 39602-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL ALQUERIA LA, 31, Es:1 Pl:01 Pt:02;;03/03/2017;4047204YJ2644N0002BK;;N;126,00;6;N;3;6;0;0;3
CV-VUT0055067-V;Vivienda 55067-V;VALENCIA/VALÈNCIA;CATARROJA;46470;AV DOCTOR GOMEZ FERRER, 25, Es:1 Pl:03 Pt:04;;02/05/2024;3851521YJ2635S0005HL;;N;88,00;4;N;2;4;0;0;2
CV-VUT0054283-V;Vivienda 54283-V;VALENCIA/VALÈNCIA;CATARROJA;46470;AV MURCIA, 16, Es:1 Pl:01 Pt:01;;25/01/2024;3153610YJ2635S0001PG;;N;154,00;6;N;3;6;0;0;3
CV-VUT0044559-V;Vivienda 44559-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL CHARCO, 5, Es:1 Pl:00 Pt:01;;31/05/2018;3950121YJ2635S0001YG;;N;140,00;5;N;1;2;3;3;4
CV-VUT0044559-V;Vivienda 44559-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL CHARCO, 5, Es:1 Pl:00 Pt:01;;31/05/2018;3950121YJ2635S0001YG;;N;140,00;5;N;1;2;3;3;4
CV-VUT0043273-V;Vivienda 43273-V;VALENCIA/VALÈNCIA;CATARROJA;46470;AV CAMI REIAL, 20 KM 1,00, Es:1 Pl:00 Pt:01;;27/10/2017;3649851YJ2634N1001WA;;N;304,00;6;N;3;6;0;0;3
CV-VUT0047619-V;Vivienda 47619-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL AZORIN, 1, Es:1 Pl:01 Pt:02;;17/04/2019;3349307YJ2634N0028ZA;;N;94,00;5;N;2;4;1;1;3
CV-VUT0049795-V;Vivienda 49795-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL MAESTRO SERRANO, 60, Es:1 Pl:01 Pt:01;;16/03/2021;3746417YJ2634N0002ZF;;N;76,00;4;N;2;4;0;0;2
CV-VUT0054484-V;Vivienda 54484-V;VALENCIA/VALÈNCIA;CATARROJA;46470;PZ REGION DE LA, 3, Es:1 Pl:02 Pt:06;;20/02/2024;3350201YJ2635S0006YB;;N;81,00;4;N;2;4;0;0;2
CV-VUT0052508-V;Vivienda 52508-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL FRANCESC DE VINATEA, 11, Bloque:3 Es:1 Pl:00 Pt:2B1;;25/04/2023;3755401YJ2635N0489OF;;N;64,00;4;N;2;4;0;0;2
CV-VUT0054302-V;Vivienda 54302-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL FABARA, 2, Es:1 Pl:01 Pt:03;;26/01/2024;3848512YJ2634N0003YG;;N;89,00;5;N;2;4;1;1;3
CV-VUT0054359-V;Vivienda 54359-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL FRANCESC DE VINATEA, 11, Bloque:3 Es:1 Pl:00 Pt:2B3;;01/02/2024;3755401YJ2635N0491ID;;N;62,00;2;N;1;2;0;0;1
CV-VUT0054360-V;Vivienda 54360-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL FRANCESC DE VINATEA, 11, Bloque:3 Es:1 Pl:00 Pt:2B4;;01/02/2024;3755401YJ2635N0492OF;;N;62,00;2;N;1;2;0;0;1
CV-VUT0053670-V;Vivienda 53670-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL ALICANTE, 24, Es:1 Pl:02 Pt:05;;17/10/2023;3350302YJ2635S0055UI;;N;77,00;4;N;2;4;0;0;2
CV-VUT0054483-V;Vivienda 54483-V;VALENCIA/VALÈNCIA;CATARROJA;46470;AV RAMBLETA, 47, Es:1 Pl:02 Pt:03;;20/02/2024;3451109YJ2635S0005QL;;N;81,00;4;N;2;4;0;0;2
CV-VUT0058322-V;;VALENCIA/VALÈNCIA;CATARROJA;46470;CL JUAN PARRAS, 2, Es:1 Pl:01 Pt:02;;20/05/2025;3945810YJ2634N0004QH;;N;120,00;6;N;1;2;4;4;5
CV-VUT0053774-V;Vivienda 53774-V;VALENCIA/VALÈNCIA;CATARROJA;46470;CL FRANCESC DE VINATEA, 11, Bloque:3 Es:1 Pl:00 Pt:2B2;;02/11/2023;3755401YJ2635N0490US;;N;64,00;2;N;1;2;0;0;1
