Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0056935-V;Vivienda 56935-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL MUSIC GOMIS, 7, Es:T Pl:OD Pt:OS;;07/01/2025;8622407YJ0982N0001OD;;N;216,00;6;N;3;6;0;0;3
CV-VUT0053212-V;Vivienda 53212-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL COMP J GRISOSTOMO ARRIAGA, 3, Bloque:3640 Es:T Pl:OD Pt:OS;;21/07/2023;8522804YJ0982S0001YZ;;N;151,00;6;N;3;6;0;0;3
CV-VUT0052471-V;Vivienda 52471-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;DS DISEMINADO P020,, Es:T Pl:OD Pt:OS;;04/05/2023;46149A020001140000BF;;N;121,00;6;N;3;6;0;0;3
CV-VUT0052373-V;Vivienda 52373-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL NUMERO 1 S GERARDO, 3J, Es:T Pl:OD Pt:OS;;19/04/2023;7226736YJ0972S0001PJ;;N;183,00;6;N;3;6;0;0;3
CV-VUT0051379-V;Vivienda 51379-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL GARCILASO, 20, Bloque:C Es:1 Pl:00 Pt:02;;25/07/2022;6488117YJ0868N0041LG;;N;110,00;2;N;1;2;0;0;1
CV-VUT0050615-V;Vivienda 50615-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;UR MONCATI K9-3, 130, Es:T Pl:OD Pt:OS;;19/01/2022;1115703YJ0911N0001YF;;N;157,00;6;N;3;6;0;0;3
CV-VUT0038293-V;Vivienda 38293-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL ALT MAESTRAT (DE L'), 4;;11/10/2016;8233905YJ0983N0096DY;;N;225,00;8;N;4;8;0;0;4
CV-VUT0035698-V;Vivienda 35698-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL COSTA DE LA, 7, Es:T Pl:OD Pt:OS;;09/02/2016;7538503YJ0973N0001FE;;N;384,00;12;N;6;12;0;0;6
CV-VUT0054228-V;Vivienda 54228-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CM REGALON, 23, Es:T Pl:OD Pt:OS;;17/01/2024;8000324YJ0980S0001EP;;N;190,00;5;N;2;4;1;1;3
CV-VUT0040666-V;Vivienda 40666-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL VINALOPO MITJÀ (DEL), 7;;27/04/2017;8331701YJ0983S0011TX;;N;110,00;6;N;3;6;0;0;3
CV-VUT0055489-V;Vivienda 55489-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;UR SAFAREIG L9-19, 78, Es:T Pl:OD Pt:OS;;29/05/2024;93964A1YJ0899N0001ZH;;N;93,00;6;N;3;6;0;0;3
CV-VUT0050229-V;Vivienda 50229-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL ANDRES SEGOVIA, 3, Es:T Pl:OD Pt:OS;;08/07/2021;8523904YJ0982S0001GZ;;N;183,00;6;N;3;6;0;0;3
CV-VUT0049149-V;Vivienda 49149-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL RIU CLARIANO DEL, 2, Es:T Pl:OD Pt:OS;;28/01/2020;8227408YJ0973S0001YA;;N;152,00;6;N;3;6;0;0;3
CV-VUT0049975-V;Vivienda 49975-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;UR MONRABANA K8-10, 8, Es:T Pl:OD Pt:OS;;18/05/2021;0050210YJ0905S0001JJ;;N;157,00;7;N;3;6;1;1;4
CV-VUT0050500-V;Vivienda 50500-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL TARDOR SAN GERARDO, 6, Es:T Pl:OD Pt:OS;;26/10/2021;7131319YJ0973S0001TA;;N;229,00;6;N;3;6;0;0;3
CV-VUT0041081-V;Vivienda 41081-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;NC NC,;;19/05/2017;46149A115000330000YT;;N;;6;N;3;6;0;0;3
CV-VUT0045879-V;Vivienda 45879-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;PZ MAYOR, 17, Pl:03 Pt:03;;26/07/2018;6491705YJ0869S0005UH;;N;141,00;4;N;1;2;2;2;3
CV-VUT0048852-V;Vivienda 48852-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;Polígono 75 Parcela 165 PIJA. LLIRIA (VALENCIA);;27/12/2019;46149A075001650000BK;;N;;6;N;3;6;0;0;3
CV-VUT0047735-V;Vivienda 47735-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CR VALENCIA, 76, Es:1 Pl:00 Pt:2-1;;27/05/2019;6989941YJ0868N3001WR;;N;35,00;2;N;1;2;0;0;1
CV-VUT0047736-V;Vivienda 47736-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CR VALENCIA, 76, Es:1 Pl:00 Pt:2-2;;27/05/2019;6989941YJ0868N3002ET;;N;40,00;2;N;1;2;0;0;1
CV-VUT0047738-V;Vivienda 47738-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CR VALENCIA, 76, Es:1 Pl:00 Pt:2-4;;27/05/2019;6989941YJ0868N3004TU;;N;35,00;2;N;1;2;0;0;1
CV-VUT0047739-V;Vivienda 47739-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CR VALENCIA, 76, Es:1 Pl:00 Pt:2-5;;27/05/2019;6989941YJ0868N3005YI;;N;35,00;2;N;1;2;0;0;1
CV-VUT0048589-V;Vivienda 48589-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL LLANO DEL ARCO, 19, Pl:05 Pt:15;;15/10/2019;6598807YJ0869N0017LJ;;N;94,00;4;N;2;4;0;0;2
CV-VUT0052092-V;Vivienda 52092-V;VALENCIA/VALÈNCIA;LLÍRIA;46160;CL GARCILASO, 20, Bloque:A Es:1 Pl:00 Pt:01;;07/03/2023;6488117YJ0868N0092OT;;N;130,00;4;N;2;4;0;0;2
