Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0046779-V;Vivienda 46779-V;VALENCIA/VALÈNCIA;PETRÉS;46501;CL FRAY DOMINGO, 21, Es:1 Pl:02 Pt:08;;16/11/2018;0665401XJ3906N0008DP;;N;131,00;8;N;4;8;0;0;4
CV-VUT0058186-V;;VALENCIA/VALÈNCIA;PETRÉS;46500;CL PARRETES, LES, 8, Es:1 Pl:05 Pt:24;;15/04/2025;3467701YJ3936N0041LP;;N;123,00;6;N;3;6;0;0;3
CV-VUT0050731-V;Vivienda 50731-V;VALENCIA/VALÈNCIA;PETRÉS;46501;CL FRAY DOMINGO, 2, Es:1 Pl:01 Pt:DR;;10/03/2022;0665209XJ3906D0003EU;;N;73,00;2;N;1;2;0;0;1
