Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0052835-V;Vivienda 52835-V;VALENCIA/VALÈNCIA;SERRA;46118;CL SANT MIQUEL, 28, Bloque:I Es:1 Pl:02 Pt:08;;09/06/2023;0360105YJ2906S0008DL;;N;154,00;5;N;2;4;1;1;3
CV-VUT0035315-V;Vivienda 35315-V;VALENCIA/VALÈNCIA;SERRA;46118;CL VALENCIA, 13, Pl:01 Pt:02;;06/08/2015;0761839YJ2906B0004TF;;N;85,00;4;N;2;4;0;0;2
CV-VUT0031097-V;Vivienda 31097-V;VALENCIA/VALÈNCIA;SERRA;46118;CL ERA, 21, Es:1 Pl:00 Pt:01;;19/10/2006;0761819YJ2906B0001FA;;N;70,00;6;N;3;6;0;0;3
CV-VUT0054557-V;Vivienda 54557-V;VALENCIA/VALÈNCIA;SERRA;46118;CL CADIZ, 210, Es:1 Pl:00 Pt:01;;04/03/2024;3616510YJ1931N0001WA;;N;279,00;8;N;4;8;0;0;4
CV-VUT0054847-V;Vivienda 54847-V;VALENCIA/VALÈNCIA;SERRA;46118;CM CAMPAMENTO, 2, Es:1 Pl:01 Pt:08;;05/04/2024;0869901YJ2906H0008FE;;N;73,00;4;N;2;4;0;0;2
CV-VUT0049171-V;Vivienda 49171-V;VALENCIA/VALÈNCIA;SERRA;46118;CL SANT ROC, 22, Es:1 Pl:02 Pt:01;;08/04/2020;0462621YJ2906C0003TX;;N;50,00;3;N;1;2;1;1;2
CV-VUT0042719-V;Vivienda 42719-V;VALENCIA/VALÈNCIA;SERRA;46118;AV POLIESPORTIU, 8, Pl:00 Pt:B2;;25/09/2017;0457216YJ2905N0028EI;;N;78,00;4;N;2;4;0;0;2
CV-VUT0047414-V;Vivienda 47414-V;VALENCIA/VALÈNCIA;SERRA;46118;CL MURCIA, 553, Es:T Pl:OD Pt:OS;;20/03/2019;3519315YJ1932S0001HD;;N;374,00;10;N;5;10;0;0;5
CV-VUT0049350-V;Vivienda 49350-V;VALENCIA/VALÈNCIA;SERRA;46118;CL JEREZ, 332, Es:T Pl:OD Pt:OS;;10/07/2020;3414603YJ1931S0001XL;;N;201,00;7;N;3;6;1;1;4
CV-VUT0048745-V;Vivienda 48745-V;VALENCIA/VALÈNCIA;SERRA;46118;CL CASTELLON, 4, Es:1 Pl:00 Pt:01;;25/11/2019;0664912YJ2906F0001QQ;;N;106,00;6;N;3;6;0;0;3
CV-VUT0054248-V;Vivienda 54248-V;VALENCIA/VALÈNCIA;SERRA;46118;CL GANDIA, 756, Es:T Pl:OD Pt:OS;;23/01/2024;3622809YJ1932S0001QD;;N;88,00;4;N;2;4;0;0;2
CV-VUT0051851-V;Vivienda 51851-V;VALENCIA/VALÈNCIA;SERRA;46118;CL RECTOR ALIAGA, 11, Es:1 Pl:01 Pt:01;;30/12/2022;0562501YJ2906D0003TI;;N;76,00;2;N;1;2;0;0;1
CV-VUT0051758-V;Vivienda 51758-V;VALENCIA/VALÈNCIA;SERRA;46118;CL VENTURA FELIU, 4, Es:1 Pl:01 Pt:03;;16/11/2022;0864803YJ2906D0003ZI;;N;85,00;4;N;1;2;2;2;3
CV-VUT0051848-V;Vivienda 51848-V;VALENCIA/VALÈNCIA;SERRA;46118;CL AMBROSIO CEBRIAN, 6, Es:1 Pl:01 Pt:01;;27/12/2022;0564703YJ2906D0004LO;;N;108,00;8;N;4;8;0;0;4
