Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0042221-V;Vivienda 42221-V;VALENCIA/VALÈNCIA;MONTCADA / MONCADA;46113;CL BARRERES, 67, Es:1 Pl:01 Pt:02;;16/08/2017;4506203YJ2840N0022QB;;N;;8;N;4;8;0;0;4
CV-VUT0053490-V;Vivienda 53490-V;VALENCIA/VALÈNCIA;MONTCADA / MONCADA;46113;CL LLUIS VIVES, 64, Bloque:A Es:1 Pl:00 Pt:01;;18/09/2023;3708609YJ2830N0001FQ;;N;198,00;6;N;3;6;0;0;3
CV-VUT0044582-V;Vivienda 44582-V;VALENCIA/VALÈNCIA;MONTCADA / MONCADA;46116;CL 106, 12, Es:T Pl:OD Pt:OS;;01/06/2018;3429803YJ2832N0001ZS;;N;140,00;6;N;3;6;0;0;3
CV-VUT0047268-V;Vivienda 47268-V;VALENCIA/VALÈNCIA;MONTCADA / MONCADA;46116;CL 118, 14, Es:T Pl:OD Pt:OS;;20/02/2019;3130409YJ2833S0001RF;;N;234,00;6;N;3;6;0;0;3
CV-VUT0058295-V;JOSE ALBERTO CASTELLO RAGA;VALENCIA/VALÈNCIA;MONTCADA / MONCADA;46116;CL 131 A, 4, Es:T Pl:OD Pt:OS;;10/05/2025;3022616YJ2832S0001IB;;N;210,00;6;N;3;6;0;0;3
