Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0026346-V;Vivienda 26346-V;VALENCIA/VALÈNCIA;CHIVA;46370;UR POBLADO MED.PS GOLF, 4, Bloque:1 Es:1 Pl:01 Pt:08;;17/02/1997;4897927YJ0649N0008LH;;N;147,00;4;N;2;4;0;0;2
CV-VUT0026340-V;Vivienda 26340-V;VALENCIA/VALÈNCIA;CHIVA;46370;UR POBLADO MED.PS GOLF, 4, Bloque:1 Es:1 Pl:01 Pt:05;;17/02/1997;4897927YJ0649N0005HD;;N;147,00;4;N;2;4;0;0;2
CV-VUT0026341-V;Vivienda 26341-V;VALENCIA/VALÈNCIA;CHIVA;46370;UR POBLADO MED.PS GOLF, 4, Bloque:1 Es:1 Pl:00 Pt:01;;17/02/1997;4897927YJ0649N0001SO;;N;131,00;4;N;2;4;0;0;2
CV-VUT0026342-V;Vivienda 26342-V;VALENCIA/VALÈNCIA;CHIVA;46370;UR POBLADO MED.PS GOLF, 4, Bloque:1 Es:1 Pl:00 Pt:02;;17/02/1997;4897927YJ0649N0002DP;;N;123,00;4;N;2;4;0;0;2
CV-VUT0026347-V;Vivienda 26347-V;VALENCIA/VALÈNCIA;CHIVA;46370;UR POBLADO MED.PS GOLF, 4, Bloque:1 Es:1 Pl:01 Pt:07;;17/02/1997;4897927YJ0649N0007KG;;N;134,00;4;N;2;4;0;0;2
CV-VUT0026345-V;Vivienda 26345-V;VALENCIA/VALÈNCIA;CHIVA;46370;UR POBLADO MED.PS GOLF, 4, Bloque:1 Es:1 Pl:01 Pt:06;;17/02/1997;4897927YJ0649N0006JF;;N;134,00;4;N;2;4;0;0;2
CV-VUT0026344-V;Vivienda 26344-V;VALENCIA/VALÈNCIA;CHIVA;46370;UR POBLADO MED.PS GOLF, 4, Bloque:1 Es:1 Pl:00 Pt:04;;17/02/1997;4897927YJ0649N0004GS;;N;131,00;4;N;2;4;0;0;2
CV-VUT0026343-V;Vivienda 26343-V;VALENCIA/VALÈNCIA;CHIVA;46370;UR POBLADO MED.PS GOLF, 4, Bloque:1 Es:1 Pl:00 Pt:03;;17/02/1997;4897927YJ0649N0003FA;;N;123,00;4;N;2;4;0;0;2
CV-VUT0039041-V;Vivienda 39041-V;VALENCIA/VALÈNCIA;CHIVA;46370;CL ONICE-LAS PEDRIZAS, 6, Es:T Pl:OD Pt:OS;;20/01/2017;4949919XJ9744N0001QQ;;N;212,00;8;N;4;8;0;0;4
CV-VUT0037050-V;Vivienda 37050-V;VALENCIA/VALÈNCIA;CHIVA;46370;CL TARRAGONA S PERENCHIZA, 5, Es:T Pl:OD Pt:OS;;03/06/2016;6680119YJ0668S0001XI;;N;365,00;10;N;5;10;0;0;5
CV-VUT0054194-V;Vivienda 54194-V;VALENCIA/VALÈNCIA;CHIVA;46370;CL VALENCIA S PERENCHIZA, 15, Es:T Pl:OD Pt:OS;;11/01/2024;6681918YJ0668S0001RI;;N;86,00;6;N;3;6;0;0;3
CV-VUT0040116-V;Vivienda 40116-V;VALENCIA/VALÈNCIA;CHIVA;46370;AV VALENCIA-CARAMBOLO, 27, Es:T Pl:OD Pt:OS;;31/03/2017;5618310YJ0751N0001UB;;N;97,00;6;N;3;6;0;0;3
CV-VUT0043572-V;Vivienda 43572-V;VALENCIA/VALÈNCIA;CHIVA;46370;CL RIO NALON -STO DOMINGO, 13, Es:T Pl:OD Pt:OS;;08/11/2017;0381818YJ1608S0001GL;;N;408,00;8;N;4;8;0;0;4
CV-VUT0041932-V;Vivienda 41932-V;VALENCIA/VALÈNCIA;CHIVA;46370;CL LERIDA SIERRA PERENCHIZA, 4, Es:T Pl:OD Pt:OS;;11/07/2017;6382916YJ0668S0001GI;;N;239,00;10;N;5;10;0;0;5
CV-VUT0045685-V;Vivienda 45685-V;VALENCIA/VALÈNCIA;CHIVA;46370;CL RIO PISUERGA -SAN MIGUEL, 8;;02/02/2018;9380336YJ0698S0012HT;;N;250,00;10;N;5;10;0;0;5
CV-VUT0044671-V;Vivienda 44671-V;VALENCIA/VALÈNCIA;CHIVA;46370;CL ABEDUL SIERRA PERENCHIZA, 19, Es:T Pl:OD Pt:OS;;05/06/2018;6787518XJ0668N0001PP;;S;245,00;8;N;4;8;0;0;4
CV-VUT0044013-V;Vivienda 44013-V;VALENCIA/VALÈNCIA;CHIVA;46370;CL RIO TAJO -SAN MIGUEL, 71, Es:T Pl:OD Pt:OS;;10/05/2018;9181420YJ0688S0001IH;;N;151,00;8;N;4;8;0;0;4
CV-VUT0046690-V;Vivienda 46690-V;VALENCIA/VALÈNCIA;CHIVA;46370;CL MONTCABRER C CARMELO 1 Polígono 26 CORRAL DE CARMELO. 46370 CHIVA (VALENCIA);;19/06/2018;4490913YJ0648N0001WG;;N;410,00;7;N;3;6;1;1;4
CV-VUT0050005-V;Vivienda 50005-V;VALENCIA/VALÈNCIA;CHIVA;46370;CL RIO ESLA -STO DOMINGO, 5, Es:T Pl:OD Pt:OS;;28/05/2021;0676711YJ1607N0001YJ;;N;266,00;10;N;5;10;0;0;5
CV-VUT0053333-V;Vivienda 53333-V;VALENCIA/VALÈNCIA;CHIVA;46370;UR BOSQUE U12, 344E, Pl:00 Pt:01;;10/08/2023;5299506YJ0659N0001QD;;N;236,00;8;N;4;8;0;0;4
