Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0053235-V;Vivienda 53235-V;VALENCIA/VALÈNCIA;SEDAVÍ;46910;AV PAIS VALENCIA DEL, 87, Es:3 Pl:05 Pt:13;;26/07/2023;5176320YJ2657N0145MG;;N;90,00;4;N;2;4;0;0;2
CV-VUT0039937-V;Vivienda 39937-V;VALENCIA/VALÈNCIA;SEDAVÍ;46910;CL GARCIA SANCHIZ, 28B, Es:1 Pl:00 Pt:B;;22/03/2017;5172806YJ2657S0003PD;;N;203,00;4;N;2;4;0;0;2
CV-VUT0043690-V;Vivienda 43690-V;VALENCIA/VALÈNCIA;SEDAVÍ;46910;CL SANT ANTONI, 85, Es:1 Pl:01 Pt:01;;17/11/2017;5475606YJ2657N0002GR;;N;91,00;4;N;2;4;0;0;2
CV-VUT0048682-V;Vivienda 48682-V;VALENCIA/VALÈNCIA;SEDAVÍ;46910;AV PAIS VALENCIA DEL, 21, Es:1 Pl:01 Pt:04;;05/11/2019;5773301YJ2657S0007ZJ;;N;67,00;5;N;2;4;1;1;3
CV-VUT0057516-V;;VALENCIA/VALÈNCIA;SEDAVÍ;46910;AV ALBUFERA, 41, Es:1 Pl:00 Pt:IZ;;29/01/2025;5271414YJ2657S0012OL;;N;49,00;2;N;1;2;0;0;1
CV-VUT0058536-V;ESPACIOSO PARA IR EN FAMILIA;VALENCIA/VALÈNCIA;SEDAVÍ;46910;CL SALVADOR GINER DE, 4, Es:1 Pl:01 Pt:01;;11/06/2025;5475409YJ2657N0001PE;;N;171,00;7;N;3;6;1;1;4
CV-VUT0058707-V;;VALENCIA/VALÈNCIA;SEDAVÍ;46910;CL MORELLA, 17, Es:1 Pl:00 Pt:A1;;02/07/2025;5673401YJ2657S0013DB;46049000994515;N;56,00;2;S;0;0;0;0;0
