Nº de inscripción;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios
CV-VUT0056823-V;Vivienda 56823-V;VALENCIA/VALÈNCIA;BUÑOL;46360;CL LOPE DE VEGA, 14, Es:T Pl:OD Pt:OS;;08/12/2024;0158856XJ9605N0001AB;;N;187,00;6;N;3;6;0;0;3
CV-VUT0055642-V;Vivienda 55642-V;VALENCIA/VALÈNCIA;BUÑOL;46360;CL VALLE DE ANDORRA, 32, Es:1 Pl:01 Pt:02;;14/06/2024;0354906XJ9605S0002PY;;N;133,00;7;N;3;6;1;1;4
CV-VUT0051798-V;Vivienda 51798-V;VALENCIA/VALÈNCIA;BUÑOL;46360;CL BALMES, 30, Es:1 Pl:00 Pt:01;;29/11/2022;0559406XJ9606S0001ZX;;N;147,00;7;N;3;6;1;1;4
CV-VUT0056184-V;Vivienda 56184-V;VALENCIA/VALÈNCIA;BUÑOL;46360;CL CID, 17, Es:T Pl:OD Pt:OS;;07/08/2024;0257709XJ9606S0001TX;;N;295,00;12;N;6;12;0;0;6
CV-VUT0056190-V;Vivienda 56190-V;VALENCIA/VALÈNCIA;BUÑOL;46360;AV BELTRAN BAGUENA, 1, Es:1 Pl:01 Pt:01;;07/08/2024;0555901XJ9605N0048AO;;N;108,00;6;N;3;6;0;0;3
CV-VUT0049020-V;Vivienda 49020-V;VALENCIA/VALÈNCIA;BUÑOL;46360;CL MIGUEL UNAMUNO, 0, Es:IZ Pl:02 Pt:06;;12/02/2020;0161428XJ9606S0016BA;;N;201,00;6;N;3;6;0;0;3
CV-VUT0057462-V;;VALENCIA/VALÈNCIA;BUÑOL;46360;AV VIOLETA LA, 8, Es:1 Pl:03 Pt:05;;21/02/2025;0754201XJ9605N0008ER;;N;121,00;4;N;2;4;0;0;2
CV-VUT0058259-V;El Molino 2 Buñol Apartamento;VALENCIA/VALÈNCIA;BUÑOL;46360;CL MOLINO EL, 14, Es:1 Pl:02 Pt:02;;06/05/2025;0256436XJ9605N0003FX;;N;66,00;2;N;1;2;0;0;1
CV-VUT0054764-V;Vivienda 54764-V;VALENCIA/VALÈNCIA;BUÑOL;46360;C EL MOLINO, 14 Pl:1;;26/03/2024;;IDUFIR 4600700122606;N;;2;N;1;2;0;0;1
CV-VUT0056455-V;Vivienda 56455-V;VALENCIA/VALÈNCIA;BUÑOL;46360;CL ERNESTO JIMENEZ NAVARRO, 8, Es:T Pl:OD Pt:OS;;07/10/2024;0655913XJ9605N0002RZ;;N;82,00;6;N;3;6;0;0;3
CV-VUT0056158-V;Vivienda 56158-V;VALENCIA/VALÈNCIA;BUÑOL;46360;CL VALLE DE ANDORRA, 32, Es:1 Pl:00 Pt:01;;05/08/2024;0354906XJ9605S0001OT;;N;157,00;8;N;4;8;0;0;4
